Dataset,Model,Cloud cover,Predicted Value
Evenings,XGBoost,1.0,519.3867797851562
Mornings Special,CatBoost,0.0,310.23377932327554
Mornings Special,CatBoost,0.010101010101010102,296.2832599473138
Mornings Special,CatBoost,0.020202020202020204,413.5483454290382
Mornings Special,CatBoost,0.030303030303030304,306.20286902728213
Mornings Special,CatBoost,0.04040404040404041,306.58575338089827
Mornings Special,CatBoost,0.05050505050505051,310.58457258201713
Mornings Special,CatBoost,0.06060606060606061,307.81477365468436
Mornings Special,CatBoost,0.07070707070707072,304.8245669629869
Mornings Special,CatBoost,0.08080808080808081,304.7488875417381
Mornings Special,CatBoost,0.09090909090909091,318.3639456442009
Mornings Special,CatBoost,0.10101010101010102,300.66973481295196
Mornings Special,CatBoost,0.11111111111111112,300.3596548923194
Mornings Special,CatBoost,0.12121212121212122,295.45891843065704
Mornings Special,CatBoost,0.13131313131313133,295.44441238787874
Mornings Special,CatBoost,0.14141414141414144,296.7469908585255
Mornings Special,CatBoost,0.15151515151515152,297.55036943779675
Mornings Special,CatBoost,0.16161616161616163,298.1808008833486
Mornings Special,CatBoost,0.17171717171717174,298.1808008833486
Mornings Special,CatBoost,0.18181818181818182,298.1808008833486
Mornings Special,CatBoost,0.19191919191919193,298.3341524695873
Mornings Special,CatBoost,0.20202020202020204,328.3402251074065
Mornings Special,CatBoost,0.21212121212121213,329.8614037773719
Mornings Special,CatBoost,0.22222222222222224,331.07675793987494
Mornings Special,CatBoost,0.23232323232323235,310.8752638603748
Mornings Special,CatBoost,0.24242424242424243,311.3263932187361
Mornings Special,CatBoost,0.25252525252525254,311.3263932187361
Mornings Special,CatBoost,0.26262626262626265,311.1446257343275
Mornings Special,CatBoost,0.27272727272727276,313.4616864858519
Mornings Special,CatBoost,0.2828282828282829,313.4616864858519
Mornings Special,CatBoost,0.29292929292929293,304.2653412859195
Mornings Special,CatBoost,0.30303030303030304,298.1532055962685
Mornings Special,CatBoost,0.31313131313131315,297.60814388625835
Mornings Special,CatBoost,0.32323232323232326,297.63290015009153
Mornings Special,CatBoost,0.33333333333333337,297.6365912697682
Mornings Special,CatBoost,0.3434343434343435,300.17709951212106
Mornings Special,CatBoost,0.3535353535353536,303.318221891078
Mornings Special,CatBoost,0.36363636363636365,303.3362505789851
Mornings Special,CatBoost,0.37373737373737376,304.654868418958
Mornings Special,CatBoost,0.38383838383838387,301.6691427363796
Mornings Special,CatBoost,0.393939393939394,301.06651770143935
Mornings Special,CatBoost,0.4040404040404041,298.2781220837445
Mornings Special,CatBoost,0.4141414141414142,298.2781220837445
Mornings Special,CatBoost,0.42424242424242425,298.2781220837445
Mornings Special,CatBoost,0.43434343434343436,298.2781220837445
Mornings Special,CatBoost,0.4444444444444445,294.06423914162804
Mornings Special,CatBoost,0.4545454545454546,291.459120941641
Mornings Special,CatBoost,0.4646464646464647,291.459120941641
Mornings Special,CatBoost,0.4747474747474748,294.8585635128177
Mornings Special,CatBoost,0.48484848484848486,294.10759311582154
Mornings Special,CatBoost,0.494949494949495,294.4785839394482
Mornings Special,CatBoost,0.5050505050505051,294.50199743316864
Mornings Special,CatBoost,0.5151515151515152,294.50199743316864
Mornings Special,CatBoost,0.5252525252525253,289.54269436041795
Mornings Special,CatBoost,0.5353535353535354,289.658857273257
Mornings Special,CatBoost,0.5454545454545455,289.87873721253044
Mornings Special,CatBoost,0.5555555555555556,287.1490858850514
Mornings Special,CatBoost,0.5656565656565657,287.1490858850514
Mornings Special,CatBoost,0.5757575757575758,302.00123283446624
Mornings Special,CatBoost,0.5858585858585859,302.00123283446624
Mornings Special,CatBoost,0.595959595959596,302.22978732400554
Mornings Special,CatBoost,0.6060606060606061,303.0207658794799
Mornings Special,CatBoost,0.6161616161616162,312.0217748716855
Mornings Special,CatBoost,0.6262626262626263,299.4117178438535
Mornings Special,CatBoost,0.6363636363636365,305.55867446849845
Mornings Special,CatBoost,0.6464646464646465,312.5357507240419
Mornings Special,CatBoost,0.6565656565656566,300.3760026539684
Mornings Special,CatBoost,0.6666666666666667,300.4591631904679
Mornings Special,CatBoost,0.6767676767676768,300.4591631904679
Mornings Special,CatBoost,0.686868686868687,300.4591631904679
Mornings Special,CatBoost,0.696969696969697,300.5310196522807
Mornings Special,CatBoost,0.7070707070707072,299.7519966127883
Mornings Special,CatBoost,0.7171717171717172,299.7519966127883
Mornings Special,CatBoost,0.7272727272727273,299.7519966127883
Mornings Special,CatBoost,0.7373737373737375,298.6779633269806
Mornings Special,CatBoost,0.7474747474747475,299.75893916956454
Mornings Special,CatBoost,0.7575757575757577,299.86555604261696
Mornings Special,CatBoost,0.7676767676767677,299.88935432752555
Mornings Special,CatBoost,0.7777777777777778,298.69770855791364
Mornings Special,CatBoost,0.787878787878788,298.69770855791364
Mornings Special,CatBoost,0.797979797979798,298.1275893221955
Mornings Special,CatBoost,0.8080808080808082,299.8416257521794
Mornings Special,CatBoost,0.8181818181818182,298.96496192401247
Mornings Special,CatBoost,0.8282828282828284,299.0956050748529
Mornings Special,CatBoost,0.8383838383838385,295.3360910118371
Mornings Special,CatBoost,0.8484848484848485,295.2988016179312
Mornings Special,CatBoost,0.8585858585858587,295.23566871749915
Mornings Special,CatBoost,0.8686868686868687,295.23566871749915
Mornings Special,CatBoost,0.8787878787878789,293.42145630515546
Mornings Special,CatBoost,0.888888888888889,291.24557584313015
Mornings Special,CatBoost,0.8989898989898991,288.356452257902
Mornings Special,CatBoost,0.9090909090909092,293.2013474853071
Mornings Special,CatBoost,0.9191919191919192,292.8866569508357
