Dataset,Model,5 Walkable path length,Predicted Value
Mornings,CatBoost,8423.811515151516,734.2074228485351
Mornings,CatBoost,8561.079191919192,734.2074228485351
Mornings,CatBoost,8698.34686868687,734.2074228485351
Mornings,CatBoost,8835.614545454546,734.2074228485351
Mornings,CatBoost,8972.882222222222,734.2074228485351
Mornings,CatBoost,9110.1498989899,734.2074228485351
Mornings,CatBoost,9247.417575757576,734.2074228485351
Mornings,CatBoost,9384.685252525253,734.5294674354091
Mornings,CatBoost,9521.95292929293,750.0649789049617
Mornings,CatBoost,9659.220606060606,757.3974687479348
Mornings,CatBoost,9796.488282828283,774.5701641460407
Mornings,CatBoost,9933.75595959596,774.6668113399444
Mornings,CatBoost,10071.023636363636,774.6668113399444
Mornings,CatBoost,10208.291313131313,774.6668113399444
Mornings,CatBoost,10345.55898989899,774.6668113399444
Mornings,CatBoost,10482.826666666666,774.6668113399444
Mornings,CatBoost,10620.094343434343,774.1312990495979
Mornings,CatBoost,10757.36202020202,774.1312990495979
Mornings,CatBoost,10894.629696969696,774.1687763737782
Mornings,CatBoost,11031.897373737373,774.1687763737782
Mornings,CatBoost,11169.16505050505,770.0283638132169
Mornings,CatBoost,11306.432727272726,769.9273754160744
Mornings,CatBoost,11443.700404040403,768.9098213069393
Mornings,CatBoost,11580.96808080808,720.2543730659808
Mornings,CatBoost,11718.235757575758,705.2901446192005
Mornings,CatBoost,11855.503434343434,705.2901446192005
Mornings,CatBoost,11992.771111111111,705.3039809485495
Mornings,CatBoost,12130.038787878788,705.2938990993914
Mornings,CatBoost,12267.306464646465,705.3171588852233
Mornings,CatBoost,12404.574141414141,705.3171588852233
Mornings,CatBoost,12541.841818181818,656.8906366683849
Mornings,CatBoost,12679.109494949495,657.5390476519458
Mornings,CatBoost,12816.377171717171,657.5390476519458
Mornings,CatBoost,12953.644848484848,657.5390476519458
Mornings,CatBoost,13090.912525252525,657.6596571506842
Mornings,CatBoost,13228.180202020201,657.6596571506842
Mornings,CatBoost,13365.447878787878,657.6596571506842
Mornings,CatBoost,13502.715555555555,657.6596571506842
Mornings,CatBoost,13639.983232323231,657.6596571506842
Mornings,CatBoost,13777.250909090908,657.6596571506842
Mornings,CatBoost,13914.518585858585,657.6596571506842
Mornings,CatBoost,14051.786262626261,657.6596571506842
Mornings,CatBoost,14189.053939393938,657.6596571506842
Mornings,CatBoost,14326.321616161615,657.6596571506842
Mornings,CatBoost,14463.589292929291,657.6596571506842
Mornings,CatBoost,14600.856969696968,657.6596571506842
Mornings,CatBoost,14738.124646464647,657.6596571506842
Mornings,CatBoost,14875.392323232323,657.6596571506842
Mornings,CatBoost,15012.66,657.6596571506842
Lunches,LightGBM,1423.16,1112.9427622280111
Lunches,LightGBM,1560.4276767676768,1112.9427622280111
Lunches,LightGBM,1697.6953535353537,1112.9427622280111
Lunches,LightGBM,1834.9630303030303,1112.9427622280111
Lunches,LightGBM,1972.230707070707,1112.9427622280111
Lunches,LightGBM,2109.498383838384,1112.9427622280111
Lunches,LightGBM,2246.766060606061,1112.9427622280111
Lunches,LightGBM,2384.0337373737375,1112.9427622280111
Lunches,LightGBM,2521.301414141414,1112.9427622280111
Lunches,LightGBM,2658.569090909091,1112.9427622280111
Lunches,LightGBM,2795.8367676767675,1112.9427622280111
Lunches,LightGBM,2933.104444444444,1112.9427622280111
Lunches,LightGBM,3070.372121212121,1112.9427622280111
Lunches,LightGBM,3207.639797979798,1112.9427622280111
Lunches,LightGBM,3344.9074747474747,1112.9427622280111
Lunches,LightGBM,3482.175151515152,1112.9427622280111
Lunches,LightGBM,3619.4428282828285,1112.9427622280111
Lunches,LightGBM,3756.710505050505,1112.9427622280111
Lunches,LightGBM,3893.978181818182,1112.9427622280111
Lunches,LightGBM,4031.2458585858585,1112.9427622280111
Lunches,LightGBM,4168.513535353535,1112.9427622280111
Lunches,LightGBM,4305.781212121212,1112.9427622280111
Lunches,LightGBM,4443.0488888888885,1112.9427622280111
Lunches,LightGBM,4580.316565656565,1112.9427622280111
Lunches,LightGBM,4717.584242424242,1112.9427622280111
Lunches,LightGBM,4854.8519191919195,1112.9427622280111
Lunches,LightGBM,4992.119595959596,1112.9427622280111
Lunches,LightGBM,5129.387272727273,1112.9427622280111
Lunches,LightGBM,5266.6549494949495,1112.9427622280111
Lunches,LightGBM,5403.922626262626,1112.9427622280111
Lunches,LightGBM,5541.190303030303,1112.9427622280111
Lunches,LightGBM,5678.4579797979795,1112.9427622280111
Lunches,LightGBM,5815.725656565656,1112.9427622280111
Lunches,LightGBM,5952.993333333333,1112.9427622280111
Lunches,LightGBM,6090.26101010101,1112.9427622280111
Lunches,LightGBM,6227.528686868686,1112.9427622280111
Lunches,LightGBM,6364.796363636363,1112.9427622280111
Lunches,LightGBM,6502.06404040404,1112.9427622280111
Lunches,LightGBM,6639.331717171717,1112.9427622280111
Lunches,LightGBM,6776.599393939394,1112.8865442692352
Lunches,LightGBM,6913.8670707070705,1112.8865442692352
Lunches,LightGBM,7051.134747474747,1112.8865442692352
Lunches,LightGBM,7188.402424242424,1112.8865442692352
Lunches,LightGBM,7325.670101010101,1112.8865442692352
Lunches,LightGBM,7462.937777777777,1112.8865442692352
Lunches,LightGBM,7600.205454545454,1112.8865442692352
Lunches,LightGBM,7737.473131313131,1112.8865442692352
Lunches,LightGBM,7874.740808080807,1112.8865442692352
Lunches,LightGBM,8012.008484848484,1112.8865442692352
Lunches,LightGBM,8149.2761616161615,1112.8865442692352
Lunches,LightGBM,8286.54383838384,1112.8865442692352
Lunches,LightGBM,8423.811515151516,1113.584153104744
Lunches,LightGBM,8561.079191919192,1113.584153104744
Lunches,LightGBM,8698.34686868687,1113.584153104744
Lunches,LightGBM,8835.614545454546,1114.4258473554698
Lunches,LightGBM,8972.882222222222,1114.3899722272433
Lunches,LightGBM,9110.1498989899,1114.3899722272433
Lunches,LightGBM,9247.417575757576,1114.3899722272433
Lunches,LightGBM,9384.685252525253,1114.3700923628303
Lunches,LightGBM,9521.95292929293,1114.3642181087903
