Dataset,Model,Elderly,Predicted Value
Lunches,LightGBM,21.21212121212121,1088.4340370375478
Lunches,LightGBM,21.81818181818182,1088.4340370375478
Lunches,LightGBM,22.424242424242426,1088.4340370375478
Lunches,LightGBM,23.03030303030303,1088.4340370375478
Lunches,LightGBM,23.636363636363637,1088.4340370375478
Lunches,LightGBM,24.242424242424242,1088.4340370375478
Lunches,LightGBM,24.848484848484848,1088.4340370375478
Lunches,LightGBM,25.454545454545457,1088.4340370375478
Lunches,LightGBM,26.060606060606062,1088.4340370375478
Lunches,LightGBM,26.666666666666668,1088.4340370375478
Lunches,LightGBM,27.272727272727273,1088.4340370375478
Lunches,LightGBM,27.87878787878788,1088.4340370375478
Lunches,LightGBM,28.484848484848484,1088.4340370375478
Lunches,LightGBM,29.090909090909093,1088.4340370375478
Lunches,LightGBM,29.6969696969697,1088.4340370375478
Lunches,LightGBM,30.303030303030305,1088.4340370375478
Lunches,LightGBM,30.90909090909091,1088.4340370375478
Lunches,LightGBM,31.515151515151516,1088.4340370375478
Lunches,LightGBM,32.121212121212125,1088.4340370375478
Lunches,LightGBM,32.72727272727273,1088.4340370375478
Lunches,LightGBM,33.333333333333336,1088.4340370375478
Lunches,LightGBM,33.93939393939394,1088.4340370375478
Lunches,LightGBM,34.54545454545455,1088.4340370375478
Lunches,LightGBM,35.151515151515156,1088.4340370375478
Lunches,LightGBM,35.75757575757576,1088.4340370375478
Lunches,LightGBM,36.36363636363637,1088.4340370375478
Lunches,LightGBM,36.96969696969697,1088.4340370375478
Lunches,LightGBM,37.57575757575758,1088.4340370375478
Lunches,LightGBM,38.18181818181818,1088.4340370375478
Lunches,LightGBM,38.78787878787879,1088.4340370375478
Lunches,LightGBM,39.3939393939394,1088.4340370375478
Lunches,LightGBM,40.0,1088.4340370375478
Lunches,LightGBM,40.60606060606061,1088.4340370375478
Lunches,LightGBM,41.21212121212121,1088.4340370375478
Lunches,LightGBM,41.81818181818182,1088.4340370375478
Lunches,LightGBM,42.42424242424242,1088.4340370375478
Lunches,LightGBM,43.03030303030303,1088.4340370375478
Lunches,LightGBM,43.63636363636364,1088.4340370375478
Lunches,LightGBM,44.24242424242424,1088.3526553207967
Lunches,LightGBM,44.84848484848485,1088.3526553207967
Lunches,LightGBM,45.45454545454545,1088.3526553207967
Lunches,LightGBM,46.06060606060606,1088.3526553207967
Lunches,LightGBM,46.66666666666667,1088.3526553207967
Lunches,LightGBM,47.27272727272727,1088.3526553207967
Lunches,LightGBM,47.87878787878788,1088.3526553207967
Lunches,LightGBM,48.484848484848484,1088.3526553207967
Lunches,LightGBM,49.09090909090909,1088.3526553207967
Lunches,LightGBM,49.696969696969695,1088.3526553207967
Lunches,LightGBM,50.303030303030305,1088.3526553207967
Lunches,LightGBM,50.909090909090914,1088.3526553207967
Lunches,LightGBM,51.515151515151516,1088.3526553207967
