Dataset,Model,15 Tree density,Predicted Value
Lunches,CatBoost,0.15667096752404003,1133.0500277394685
Lunches,CatBoost,0.1581531147081149,1133.0500277394685
Lunches,CatBoost,0.1596352618921898,1113.2337079818237
Afternoons,CatBoost,0.0129026906687767,1221.3170276518429
Afternoons,CatBoost,0.01438483785285158,1221.3170276518429
Afternoons,CatBoost,0.01586698503692646,1221.3170276518429
Afternoons,CatBoost,0.01734913222100134,1221.3170276518429
Afternoons,CatBoost,0.01883127940507622,1221.3170276518429
Afternoons,CatBoost,0.0203134265891511,1221.3170276518429
Afternoons,CatBoost,0.02179557377322598,1221.3170276518429
Afternoons,CatBoost,0.02327772095730086,1221.3170276518429
Afternoons,CatBoost,0.02475986814137574,1221.3170276518429
Afternoons,CatBoost,0.02624201532545062,1221.3170276518429
Afternoons,CatBoost,0.0277241625095255,1221.3170276518429
Afternoons,CatBoost,0.029206309693600378,1221.3170276518429
Afternoons,CatBoost,0.030688456877675255,1221.3170276518429
Afternoons,CatBoost,0.03217060406175014,1220.5116976745203
Afternoons,CatBoost,0.033652751245825015,1220.5116976745203
Afternoons,CatBoost,0.0351348984298999,1220.5116976745203
Afternoons,CatBoost,0.036617045613974775,1220.5116976745203
Afternoons,CatBoost,0.03809919279804966,1220.5116976745203
Afternoons,CatBoost,0.039581339982124535,1220.5116976745203
Afternoons,CatBoost,0.04106348716619942,1220.5116976745203
Afternoons,CatBoost,0.042545634350274295,1220.5158359015436
Afternoons,CatBoost,0.04402778153434918,1220.5158359015436
Afternoons,CatBoost,0.045509928718424054,1220.5158359015436
Afternoons,CatBoost,0.04699207590249894,1220.5158359015436
Afternoons,CatBoost,0.048474223086573814,1220.5158359015436
Afternoons,CatBoost,0.0499563702706487,1220.5158359015436
Afternoons,CatBoost,0.051438517454723574,1220.5158359015436
Afternoons,CatBoost,0.05292066463879846,1220.5158359015436
Afternoons,CatBoost,0.054402811822873334,1220.5158359015436
Afternoons,CatBoost,0.05588495900694822,1220.5158359015436
Afternoons,CatBoost,0.057367106191023094,1220.5158359015436
Afternoons,CatBoost,0.05884925337509798,1220.5158359015436
