Dataset,Model,5 Bench density,Predicted Value
Afternoons,CatBoost,0.0006936567223223863,1258.7910223832332
Afternoons,CatBoost,0.0007046557849082003,1258.7910223832332
Afternoons,CatBoost,0.0007156548474940141,1258.7910223832332
Afternoons,CatBoost,0.000726653910079828,1258.7910223832332
Afternoons,CatBoost,0.0007376529726656419,1255.9483283273867
Afternoons,CatBoost,0.0007486520352514558,1255.9483283273867
Afternoons,CatBoost,0.0007596510978372696,1255.9483283273867
Afternoons,CatBoost,0.0007706501604230836,1255.9483283273867
Afternoons,CatBoost,0.0007816492230088974,1255.9483283273867
Afternoons,CatBoost,0.0007926482855947113,1255.9483283273867
Afternoons,CatBoost,0.0008036473481805251,1255.9483283273867
Afternoons,CatBoost,0.000814646410766339,1251.0800502421976
Afternoons,CatBoost,0.0008256454733521529,1251.0800502421976
Afternoons,CatBoost,0.0008366445359379667,1251.0800502421976
Afternoons,CatBoost,0.0008476435985237807,1251.0800502421976
Afternoons,CatBoost,0.0008586426611095945,1242.3131337287302
Afternoons,CatBoost,0.0008696417236954084,1242.3131337287302
Afternoons,CatBoost,0.0008806407862812223,1242.7967154231287
Afternoons,CatBoost,0.0008916398488670362,1242.7967154231287
Afternoons,CatBoost,0.00090263891145285,1242.7967154231287
Afternoons,CatBoost,0.000913637974038664,1242.7967154231287
Afternoons,CatBoost,0.0009246370366244778,1242.7967154231287
Afternoons,CatBoost,0.0009356360992102917,1242.7967154231287
Afternoons,CatBoost,0.0009466351617961056,1242.7967154231287
Afternoons,CatBoost,0.0009576342243819195,1242.7967154231287
Afternoons,CatBoost,0.0009686332869677333,1242.7967154231287
Afternoons,CatBoost,0.0009796323495535474,1242.7967154231287
Afternoons,CatBoost,0.0009906314121393611,1242.7967154231287
Afternoons,CatBoost,0.001001630474725175,1242.7967154231287
Afternoons,CatBoost,0.001012629537310989,1238.5278685090452
Afternoons,CatBoost,0.0010236285998968028,1238.5278685090452
Afternoons,CatBoost,0.0010346276624826167,1238.5278685090452
Afternoons,CatBoost,0.0010456267250684307,1238.5278685090452
Afternoons,CatBoost,0.0010566257876542444,1238.5278685090452
Afternoons,CatBoost,0.0010676248502400584,1238.5278685090452
Afternoons,CatBoost,0.0010786239128258723,1238.5278685090452
Afternoons,CatBoost,0.001089622975411686,1238.5278685090452
Afternoons,CatBoost,0.0011006220379975,1238.5278685090452
Afternoons,XGBoost,1.171484200192592e-05,1256.4215087890625
Afternoons,XGBoost,2.27139045877398e-05,1256.4215087890625
Afternoons,XGBoost,3.371296717355368e-05,1219.2750244140625
Afternoons,XGBoost,4.471202975936756e-05,1219.2750244140625
Afternoons,XGBoost,5.571109234518144e-05,1219.2750244140625
Afternoons,XGBoost,6.671015493099531e-05,1219.2750244140625
Afternoons,XGBoost,7.77092175168092e-05,1219.2750244140625
Afternoons,XGBoost,8.870828010262308e-05,1219.2750244140625
