Dataset,Model,5 Tram count,Predicted Value
Afternoons,LightGBM,14.222222222222223,1209.1752240711733
Afternoons,LightGBM,14.383838383838386,1209.1752240711733
Afternoons,LightGBM,14.545454545454547,1209.1752240711733
Afternoons,LightGBM,14.707070707070708,1209.1752240711733
Afternoons,LightGBM,14.86868686868687,1209.1752240711733
Afternoons,LightGBM,15.030303030303031,1209.1752240711733
Afternoons,LightGBM,15.191919191919194,1209.1752240711733
Afternoons,LightGBM,15.353535353535355,1209.1752240711733
Afternoons,LightGBM,15.515151515151516,1204.4436415875389
Afternoons,LightGBM,15.676767676767678,1204.4436415875389
Afternoons,LightGBM,15.83838383838384,1204.4436415875389
Afternoons,LightGBM,16.0,1204.4436415875389
Afternoons,XGBoost,0.0,1184.68359375
Afternoons,XGBoost,0.16161616161616163,1184.68359375
Afternoons,XGBoost,0.32323232323232326,1184.68359375
Afternoons,XGBoost,0.48484848484848486,1184.68359375
Afternoons,XGBoost,0.6464646464646465,1184.68359375
Afternoons,XGBoost,0.8080808080808082,1184.68359375
Afternoons,XGBoost,0.9696969696969697,1184.68359375
Afternoons,XGBoost,1.1313131313131315,1184.68359375
Afternoons,XGBoost,1.292929292929293,1184.68359375
Afternoons,XGBoost,1.4545454545454546,1184.68359375
Afternoons,XGBoost,1.6161616161616164,1184.68359375
Afternoons,XGBoost,1.777777777777778,1184.68359375
Afternoons,XGBoost,1.9393939393939394,1184.68359375
Afternoons,XGBoost,2.101010101010101,1184.68359375
Afternoons,XGBoost,2.262626262626263,1184.68359375
Afternoons,XGBoost,2.4242424242424243,1184.68359375
Afternoons,XGBoost,2.585858585858586,1184.68359375
Afternoons,XGBoost,2.747474747474748,1184.68359375
Afternoons,XGBoost,2.909090909090909,1184.68359375
Afternoons,XGBoost,3.070707070707071,1195.742919921875
Afternoons,XGBoost,3.2323232323232327,1195.742919921875
Afternoons,XGBoost,3.393939393939394,1195.742919921875
Afternoons,XGBoost,3.555555555555556,1195.742919921875
Afternoons,XGBoost,3.7171717171717176,1195.742919921875
Afternoons,XGBoost,3.878787878787879,1195.742919921875
Afternoons,XGBoost,4.040404040404041,1194.4146728515625
Afternoons,XGBoost,4.202020202020202,1194.4146728515625
