Dataset,Model,5 Green area,Predicted Value
Lunches,CatBoost,18446.55494949495,1079.9538194537095
Lunches,CatBoost,19417.42626262626,1079.9261503848493
Lunches,CatBoost,20388.297575757573,1079.9261503848493
Lunches,CatBoost,21359.168888888886,1077.5794873666298
Lunches,CatBoost,22330.040202020202,1077.5794873666298
Lunches,CatBoost,23300.911515151514,1077.5794873666298
Lunches,CatBoost,24271.782828282827,1077.5794873666298
Lunches,CatBoost,25242.65414141414,1077.5794873666298
Lunches,CatBoost,26213.52545454545,1077.5794873666298
Lunches,CatBoost,27184.396767676764,1077.5794873666298
Lunches,CatBoost,28155.26808080808,1077.5794873666298
Lunches,CatBoost,29126.139393939393,1077.5794873666298
Lunches,CatBoost,30097.010707070705,1077.5794873666298
Lunches,CatBoost,31067.882020202018,1077.5794873666298
Lunches,CatBoost,32038.75333333333,1077.5794873666298
Lunches,CatBoost,33009.62464646465,1077.5794873666298
Lunches,CatBoost,33980.49595959596,1077.5794873666298
Lunches,CatBoost,34951.36727272727,1077.5794873666298
Lunches,CatBoost,35922.238585858584,1077.5794873666298
Lunches,CatBoost,36893.1098989899,1077.5794873666298
Lunches,CatBoost,37863.98121212121,1077.5794873666298
Lunches,CatBoost,38834.85252525252,1077.5794873666298
Lunches,CatBoost,39805.723838383834,1077.5794873666298
Lunches,CatBoost,40776.59515151515,1077.5794873666298
Lunches,CatBoost,41747.46646464646,1077.5794873666298
Lunches,CatBoost,42718.33777777777,1077.5794873666298
Lunches,CatBoost,43689.20909090909,1077.5794873666298
Lunches,CatBoost,44660.080404040404,1077.5794873666298
Lunches,CatBoost,45630.951717171716,1093.8169511277824
Lunches,CatBoost,46601.82303030303,1093.8169511277824
Lunches,CatBoost,47572.69434343434,1093.8169511277824
Lunches,CatBoost,48543.56565656565,1093.8169511277824
Lunches,CatBoost,49514.436969696966,1093.8169511277824
Lunches,CatBoost,50485.30828282828,1093.8169511277824
Lunches,CatBoost,51456.17959595959,1093.8169511277824
Lunches,CatBoost,52427.0509090909,1093.8169511277824
Lunches,CatBoost,53397.922222222216,1093.8169511277824
Lunches,CatBoost,54368.79353535353,1093.8169511277824
Lunches,CatBoost,55339.66484848484,1093.8169511277824
Lunches,CatBoost,56310.53616161616,1093.8169511277824
Lunches,CatBoost,57281.40747474747,1093.8169511277824
Lunches,CatBoost,58252.278787878786,1093.8169511277824
Lunches,CatBoost,59223.1501010101,1093.8169511277824
Lunches,CatBoost,60194.02141414141,1093.8169511277824
Lunches,CatBoost,61164.89272727272,1093.8169511277824
Lunches,CatBoost,62135.764040404036,1093.8169511277824
Lunches,CatBoost,63106.63535353535,1093.8169511277824
Lunches,CatBoost,64077.50666666666,1093.8169511277824
Lunches,CatBoost,65048.37797979797,1127.5691530345803
Lunches,CatBoost,66019.2492929293,1127.5691530345803
Lunches,CatBoost,66990.1206060606,1127.5691530345803
Lunches,CatBoost,67960.99191919192,1127.5691530345803
Lunches,CatBoost,68931.86323232323,1127.5691530345803
Lunches,CatBoost,69902.73454545454,1127.5691530345803
Lunches,CatBoost,70873.60585858586,1127.5691530345803
Lunches,CatBoost,71844.47717171717,1127.5691530345803
Lunches,CatBoost,72815.34848484848,1127.5691530345803
Lunches,CatBoost,73786.2197979798,1127.5691530345803
Lunches,CatBoost,74757.0911111111,1127.5691530345803
Lunches,CatBoost,75727.96242424242,1127.5691530345803
Lunches,CatBoost,76698.83373737373,1127.5691530345803
Lunches,CatBoost,77669.70505050504,1124.7595688834558
Lunches,CatBoost,78640.57636363636,1124.7595688834558
Lunches,CatBoost,79611.44767676767,1124.7595688834558
Lunches,CatBoost,80582.31898989898,1124.7595688834558
Lunches,CatBoost,81553.1903030303,1124.7595688834558
Lunches,CatBoost,82524.0616161616,1124.7595688834558
Lunches,CatBoost,83494.93292929292,1124.7595688834558
Lunches,CatBoost,84465.80424242423,1124.7595688834558
Lunches,CatBoost,85436.67555555554,1124.7595688834558
Lunches,CatBoost,86407.54686868686,1124.7595688834558
Lunches,CatBoost,87378.41818181818,1124.7595688834558
Lunches,CatBoost,88349.2894949495,1124.7595688834558
Lunches,CatBoost,89320.16080808081,1124.7595688834558
Lunches,CatBoost,90291.03212121212,1124.7595688834558
Lunches,CatBoost,91261.90343434343,1120.5898508899056
Lunches,CatBoost,92232.77474747474,1120.5898508899056
Lunches,CatBoost,93203.64606060606,1120.5898508899056
Lunches,CatBoost,94174.51737373737,1120.5898508899056
Lunches,CatBoost,95145.38868686868,1120.5898508899056
Lunches,CatBoost,96116.26,1120.5898508899056
Lunches,LightGBM,0.0,1100.4334151328615
Lunches,LightGBM,970.8713131313131,1098.7422832267723
Lunches,LightGBM,1941.7426262626261,1103.7994964334796
Lunches,LightGBM,2912.6139393939393,1102.83470657103
Lunches,LightGBM,3883.4852525252522,1102.6981265676256
Lunches,LightGBM,4854.356565656565,1102.316880697116
Lunches,LightGBM,5825.227878787879,1094.0608137007148
Lunches,LightGBM,6796.099191919191,1094.0911932528666
Lunches,LightGBM,7766.9705050505045,1091.74911459142
Lunches,LightGBM,8737.841818181818,1103.5181307581645
Lunches,LightGBM,9708.71313131313,1103.9303841748408
Lunches,LightGBM,10679.584444444443,1103.3882968900489
Lunches,LightGBM,11650.455757575757,1103.3882968900489
Lunches,LightGBM,12621.32707070707,1103.3882968900489
Lunches,LightGBM,13592.198383838382,1103.413555290957
Lunches,LightGBM,14563.069696969696,1103.413555290957
Lunches,LightGBM,15533.941010101009,1103.413555290957
Lunches,LightGBM,16504.812323232323,1103.413555290957
Lunches,LightGBM,17475.683636363636,1103.713035633898
Lunches,LightGBM,18446.55494949495,1107.7607974608147
Lunches,LightGBM,19417.42626262626,1107.6593353281794
Lunches,LightGBM,20388.297575757573,1107.6593353281794
Lunches,LightGBM,21359.168888888886,1107.7279192481803
Lunches,LightGBM,22330.040202020202,1107.7279192481803
Lunches,LightGBM,23300.911515151514,1107.7279192481803
Lunches,LightGBM,24271.782828282827,1107.8814113014785
Lunches,LightGBM,25242.65414141414,1107.8814113014785
Lunches,LightGBM,26213.52545454545,1107.8814113014785
Lunches,LightGBM,27184.396767676764,1107.8814113014785
Lunches,LightGBM,28155.26808080808,1107.8814113014785
Lunches,LightGBM,29126.139393939393,1107.8814113014785
Lunches,LightGBM,30097.010707070705,1107.7531813764465
Lunches,LightGBM,31067.882020202018,1107.7531813764465
Lunches,LightGBM,32038.75333333333,1107.7531813764465
Lunches,LightGBM,33009.62464646465,1107.7531813764465
Lunches,LightGBM,33980.49595959596,1107.7531813764465
Lunches,LightGBM,34951.36727272727,1107.7531813764465
Lunches,LightGBM,35922.238585858584,1107.2772690977654
Lunches,LightGBM,36893.1098989899,1107.2772690977654
Lunches,LightGBM,37863.98121212121,1107.2772690977654
Lunches,LightGBM,38834.85252525252,1107.2772690977654
Lunches,LightGBM,39805.723838383834,1107.2772690977654
Lunches,LightGBM,40776.59515151515,1107.2772690977654
Lunches,LightGBM,41747.46646464646,1107.027749582575
Lunches,LightGBM,42718.33777777777,1107.027749582575
Lunches,LightGBM,43689.20909090909,1107.027749582575
Lunches,LightGBM,44660.080404040404,1107.027749582575
Lunches,LightGBM,45630.951717171716,1133.624502502445
Lunches,LightGBM,46601.82303030303,1133.624502502445
Lunches,LightGBM,47572.69434343434,1133.6383019611185
Lunches,LightGBM,48543.56565656565,1133.6383019611185
Lunches,LightGBM,49514.436969696966,1133.6383019611185
Lunches,LightGBM,50485.30828282828,1133.6383019611185
Lunches,LightGBM,51456.17959595959,1133.6383019611185
Lunches,LightGBM,52427.0509090909,1133.6383019611185
Lunches,LightGBM,53397.922222222216,1133.6383019611185
Lunches,LightGBM,54368.79353535353,1133.5796206545508
Lunches,LightGBM,55339.66484848484,1133.5796206545508
Lunches,LightGBM,56310.53616161616,1133.5796206545508
Lunches,LightGBM,57281.40747474747,1133.5796206545508
