Dataset,Model,Temperature,Predicted Value
Evenings,LightGBM,21.808333333333334,597.7106317549199
Evenings,LightGBM,22.11489898989899,597.6928821731973
Evenings,LightGBM,22.42146464646465,597.6530263457875
Evenings,LightGBM,22.728030303030305,603.6981172958452
Evenings,LightGBM,23.03459595959596,593.1624592129083
Evenings,LightGBM,23.341161616161617,607.6026995918297
Evenings,LightGBM,23.647727272727273,615.5932157856132
Evenings,LightGBM,23.95429292929293,615.829104445467
Evenings,LightGBM,24.26085858585859,615.829104445467
Evenings,LightGBM,24.567424242424245,614.8579414691355
Evenings,LightGBM,24.8739898989899,603.2228939583532
Evenings,LightGBM,25.180555555555557,603.2858738934625
Evenings,LightGBM,25.487121212121213,603.2858738934625
Evenings,LightGBM,25.79368686868687,603.2858738934625
Evenings,LightGBM,26.100252525252525,640.6433144077238
Evenings,LightGBM,26.406818181818185,640.6433144077238
Evenings,LightGBM,26.71338383838384,640.6433144077238
Evenings,LightGBM,27.019949494949497,604.9223264512731
Evenings,LightGBM,27.326515151515153,604.9223264512731
Evenings,LightGBM,27.63308080808081,556.1842229401058
Evenings,LightGBM,27.939646464646465,556.1842229401058
Evenings,LightGBM,28.246212121212125,556.1842229401058
Evenings,LightGBM,28.55277777777778,556.1842229401058
Evenings,LightGBM,28.859343434343437,556.1842229401058
Evenings,LightGBM,29.165909090909093,556.1842229401058
Evenings,LightGBM,29.47247474747475,556.1842229401058
Evenings,LightGBM,29.779040404040405,556.1842229401058
Evenings,LightGBM,30.085606060606064,556.1842229401058
Evenings,LightGBM,30.39217171717172,534.5531632203054
Evenings,LightGBM,30.698737373737377,534.5531632203054
Evenings,LightGBM,31.005303030303033,534.5531632203054
Evenings,LightGBM,31.31186868686869,534.5531632203054
Evenings,LightGBM,31.618434343434345,534.5531632203054
Evenings,LightGBM,31.925,534.5531632203054
Evenings,XGBoost,1.575,564.36279296875
Evenings,XGBoost,1.8815656565656567,564.36279296875
Evenings,XGBoost,2.188131313131313,564.36279296875
Evenings,XGBoost,2.4946969696969696,564.36279296875
Evenings,XGBoost,2.801262626262626,564.36279296875
Evenings,XGBoost,3.107828282828283,564.36279296875
Evenings,XGBoost,3.4143939393939395,495.6858825683594
Evenings,XGBoost,3.720959595959596,495.6858825683594
Evenings,XGBoost,4.027525252525253,524.1590576171875
Evenings,XGBoost,4.334090909090909,527.3402099609375
Evenings,XGBoost,4.640656565656566,516.96533203125
Evenings,XGBoost,4.947222222222223,516.5606689453125
Evenings,XGBoost,5.253787878787879,512.0140380859375
Evenings,XGBoost,5.560353535353536,501.59588623046875
Evenings,XGBoost,5.866919191919193,498.49407958984375
Evenings,XGBoost,6.173484848484849,514.2083129882812
Evenings,XGBoost,6.480050505050506,520.3701171875
Evenings,XGBoost,6.786616161616163,524.9857788085938
Evenings,XGBoost,7.093181818181819,513.8284912109375
Evenings,XGBoost,7.399747474747476,492.2570495605469
Evenings,XGBoost,7.706313131313132,517.1334838867188
Evenings,XGBoost,8.012878787878789,539.369384765625
Evenings,XGBoost,8.319444444444445,498.70770263671875
Evenings,XGBoost,8.6260101010101,542.107666015625
Evenings,XGBoost,8.932575757575759,531.3980102539062
Evenings,XGBoost,9.239141414141415,503.1526794433594
Evenings,XGBoost,9.54570707070707,527.287841796875
Evenings,XGBoost,9.852272727272727,527.2498779296875
Evenings,XGBoost,10.158838383838384,524.7177734375
Evenings,XGBoost,10.46540404040404,516.6475830078125
Evenings,XGBoost,10.771969696969697,513.9376220703125
Evenings,XGBoost,11.078535353535354,523.16357421875
Evenings,XGBoost,11.38510101010101,548.1263427734375
