Dataset,Model,Building view mean,Predicted Value
All,LightGBM,0.3955607425607422,785.59263963641
All,LightGBM,0.3992719082719079,785.59263963641
All,LightGBM,0.4029830739830736,785.59263963641
All,LightGBM,0.4066942396942393,785.59263963641
All,LightGBM,0.410405405405405,785.59263963641
All,XGBoost,0.043,636.89404296875
All,XGBoost,0.0467111657111657,636.89404296875
All,XGBoost,0.050422331422331414,636.89404296875
All,XGBoost,0.05413349713349712,636.89404296875
All,XGBoost,0.057844662844662824,636.89404296875
All,XGBoost,0.06155582855582853,636.89404296875
All,XGBoost,0.06526699426699424,636.89404296875
All,XGBoost,0.06897815997815995,636.89404296875
All,XGBoost,0.07268932568932565,636.89404296875
All,XGBoost,0.07640049140049136,636.89404296875
All,XGBoost,0.08011165711165708,636.89404296875
All,XGBoost,0.08382282282282277,636.89404296875
All,XGBoost,0.08753398853398849,636.89404296875
All,XGBoost,0.0912451542451542,636.89404296875
All,XGBoost,0.0949563199563199,636.89404296875
All,XGBoost,0.09866748566748561,636.89404296875
All,XGBoost,0.10237865137865132,636.89404296875
All,XGBoost,0.10608981708981702,636.89404296875
All,XGBoost,0.10980098280098273,636.89404296875
All,XGBoost,0.11351214851214843,636.48095703125
All,XGBoost,0.11722331422331414,636.48095703125
All,XGBoost,0.12093447993447985,636.48095703125
All,XGBoost,0.12464564564564555,636.48095703125
All,XGBoost,0.12835681135681126,636.48095703125
All,XGBoost,0.13206797706797696,638.0709838867188
All,XGBoost,0.13577914277914266,638.0709838867188
All,XGBoost,0.13949030849030838,636.9181518554688
All,XGBoost,0.1432014742014741,637.4156494140625
All,XGBoost,0.1469126399126398,637.4156494140625
All,XGBoost,0.1506238056238055,637.4156494140625
All,XGBoost,0.1543349713349712,635.7948608398438
All,XGBoost,0.1580461370461369,635.7948608398438
All,XGBoost,0.16175730275730263,635.7948608398438
All,XGBoost,0.16546846846846835,635.7948608398438
All,XGBoost,0.16917963417963405,635.7948608398438
All,XGBoost,0.17289079989079975,629.8759765625
All,XGBoost,0.17660196560196545,629.8759765625
All,XGBoost,0.18031313131313115,629.8759765625
All,XGBoost,0.18402429702429685,629.8759765625
All,XGBoost,0.1877354627354626,629.8759765625
All,XGBoost,0.1914466284466283,630.0514526367188
All,XGBoost,0.195157794157794,630.0514526367188
All,XGBoost,0.1988689598689597,630.0514526367188
All,XGBoost,0.2025801255801254,630.0514526367188
All,XGBoost,0.2062912912912911,593.4508666992188
All,XGBoost,0.21000245700245684,593.4508666992188
All,XGBoost,0.21371362271362254,626.5604248046875
All,XGBoost,0.21742478842478824,625.7930908203125
All,XGBoost,0.22113595413595394,626.4107666015625
All,XGBoost,0.22484711984711964,626.4107666015625
All,XGBoost,0.22855828555828533,626.4107666015625
All,XGBoost,0.2322694512694511,505.2570495605469
All,XGBoost,0.2359806169806168,505.2570495605469
All,XGBoost,0.23969178269178248,505.5343017578125
All,XGBoost,0.24340294840294818,505.5343017578125
All,XGBoost,0.24711411411411388,505.5343017578125
All,XGBoost,0.2508252798252796,503.2951354980469
All,XGBoost,0.25453644553644533,503.2951354980469
All,XGBoost,0.25824761124761103,503.2951354980469
All,XGBoost,0.26195877695877673,503.2951354980469
All,XGBoost,0.2656699426699424,497.8055419921875
All,XGBoost,0.2693811083811081,497.8055419921875
All,XGBoost,0.2730922740922738,497.8055419921875
All,XGBoost,0.2768034398034396,489.2257385253906
All,XGBoost,0.2805146055146053,490.06805419921875
All,XGBoost,0.284225771225771,490.7086486816406
All,XGBoost,0.28793693693693667,490.7086486816406
All,XGBoost,0.29164810264810237,490.7086486816406
All,XGBoost,0.29535926835926807,490.7086486816406
All,XGBoost,0.29907043407043377,490.7086486816406
All,XGBoost,0.30278159978159946,492.8070983886719
All,XGBoost,0.3064927654927652,492.8070983886719
All,XGBoost,0.3102039312039309,492.8070983886719
All,XGBoost,0.3139150969150966,492.8070983886719
All,XGBoost,0.3176262626262623,492.8070983886719
All,XGBoost,0.321337428337428,492.8070983886719
All,XGBoost,0.3250485940485937,492.8070983886719
All,XGBoost,0.32875975975975946,492.8070983886719
All,XGBoost,0.33247092547092516,492.8070983886719
All,XGBoost,0.33618209118209086,492.8070983886719
All,XGBoost,0.33989325689325656,491.6552429199219
All,XGBoost,0.34360442260442225,491.6552429199219
All,XGBoost,0.34731558831558795,491.6552429199219
All,XGBoost,0.3510267540267537,491.5506286621094
All,XGBoost,0.3547379197379194,487.67926025390625
All,XGBoost,0.3584490854490851,487.67926025390625
All,XGBoost,0.3621602511602508,487.67926025390625
All,XGBoost,0.3658714168714165,487.67926025390625
All,XGBoost,0.3695825825825822,487.67926025390625
All,XGBoost,0.37329374829374795,487.67926025390625
All,XGBoost,0.37700491400491365,487.67926025390625
All,XGBoost,0.38071607971607935,487.67926025390625
All,XGBoost,0.38442724542724505,764.12060546875
All,XGBoost,0.38813841113841074,764.12060546875
All,XGBoost,0.39184957684957644,764.12060546875
All,XGBoost,0.3955607425607422,764.12060546875
All,XGBoost,0.3992719082719079,764.12060546875
All,XGBoost,0.4029830739830736,764.12060546875
All,XGBoost,0.4066942396942393,761.66015625
All,XGBoost,0.410405405405405,760.9295654296875
Mornings,CatBoost,0.043,724.404057304003
Mornings,CatBoost,0.0467111657111657,724.404057304003
Mornings,CatBoost,0.050422331422331414,724.404057304003
Mornings,CatBoost,0.05413349713349712,724.404057304003
Mornings,CatBoost,0.057844662844662824,724.404057304003
Mornings,CatBoost,0.06155582855582853,724.404057304003
Mornings,CatBoost,0.06526699426699424,724.404057304003
Mornings,CatBoost,0.06897815997815995,724.404057304003
Mornings,CatBoost,0.07268932568932565,724.404057304003
Mornings,CatBoost,0.07640049140049136,724.404057304003
Mornings,CatBoost,0.08011165711165708,724.404057304003
Mornings,CatBoost,0.08382282282282277,724.404057304003
Mornings,CatBoost,0.08753398853398849,724.404057304003
Mornings,CatBoost,0.0912451542451542,724.404057304003
Mornings,CatBoost,0.0949563199563199,724.5290958730071
Mornings,CatBoost,0.09866748566748561,724.5290958730071
Mornings,CatBoost,0.10237865137865132,724.5290958730071
Mornings,CatBoost,0.10608981708981702,724.5290958730071
Mornings,CatBoost,0.10980098280098273,724.5290958730071
Mornings,CatBoost,0.11351214851214843,724.2177512339769
Mornings,CatBoost,0.11722331422331414,724.2177512339769
Mornings,CatBoost,0.12093447993447985,724.2177512339769
Mornings,CatBoost,0.12464564564564555,724.3321377573973
Mornings,CatBoost,0.12835681135681126,724.3321377573973
Mornings,CatBoost,0.13206797706797696,724.3321377573973
Mornings,CatBoost,0.13577914277914266,724.3321377573973
Mornings,CatBoost,0.13949030849030838,724.3321377573973
Mornings,CatBoost,0.1432014742014741,724.3321377573973
Mornings,CatBoost,0.1469126399126398,724.3628979411744
Mornings,CatBoost,0.1506238056238055,724.3628979411744
Mornings,CatBoost,0.1543349713349712,724.3628979411744
Mornings,CatBoost,0.1580461370461369,724.3628979411744
Mornings,CatBoost,0.16175730275730263,724.3628979411744
Mornings,CatBoost,0.16546846846846835,724.3628979411744
Mornings,CatBoost,0.16917963417963405,724.3628979411744
Mornings,CatBoost,0.17289079989079975,724.3628979411744
Mornings,CatBoost,0.17660196560196545,724.3628979411744
Mornings,CatBoost,0.18031313131313115,724.3628979411744
Mornings,CatBoost,0.18402429702429685,724.3628979411744
Mornings,CatBoost,0.1877354627354626,724.3628979411744
Mornings,CatBoost,0.1914466284466283,724.3628979411744
Mornings,CatBoost,0.195157794157794,724.3628979411744
Mornings,CatBoost,0.1988689598689597,724.5150881306188
Mornings,CatBoost,0.2025801255801254,735.8781589116239
Mornings,CatBoost,0.2062912912912911,735.8781589116239
Mornings,CatBoost,0.21000245700245684,725.7832660088449
Mornings,CatBoost,0.21371362271362254,725.7321916555645
Mornings,CatBoost,0.21742478842478824,725.7244973691239
Mornings,CatBoost,0.22113595413595394,725.7244973691239
Mornings,CatBoost,0.22484711984711964,725.7244973691239
Mornings,CatBoost,0.22855828555828533,725.7244973691239
Mornings,CatBoost,0.2322694512694511,725.480063241758
Mornings,CatBoost,0.2359806169806168,725.4781065234232
Mornings,CatBoost,0.23969178269178248,725.4781065234232
Mornings,CatBoost,0.24340294840294818,725.4781065234232
Mornings,CatBoost,0.24711411411411388,725.3625988881465
Mornings,CatBoost,0.2508252798252796,725.3625988881465
Mornings,CatBoost,0.25453644553644533,725.3625988881465
Mornings,CatBoost,0.25824761124761103,725.2603227043842
Mornings,CatBoost,0.26195877695877673,725.2603227043842
Mornings,CatBoost,0.2656699426699424,725.2603227043842
Mornings,CatBoost,0.2693811083811081,724.988954962861
Mornings,CatBoost,0.2730922740922738,724.988954962861
Mornings,CatBoost,0.2768034398034396,723.1428713814119
Mornings,CatBoost,0.2805146055146053,723.1428713814119
Mornings,CatBoost,0.284225771225771,723.6182451797292
Mornings,CatBoost,0.28793693693693667,723.0974159190449
Mornings,CatBoost,0.29164810264810237,723.0974159190449
Mornings,CatBoost,0.29535926835926807,723.0974159190449
Mornings,CatBoost,0.29907043407043377,727.7184767810409
Mornings,CatBoost,0.30278159978159946,728.305257710647
Mornings,CatBoost,0.3064927654927652,728.305257710647
Mornings,CatBoost,0.3102039312039309,728.305257710647
Mornings,CatBoost,0.3139150969150966,728.305257710647
Mornings,CatBoost,0.3176262626262623,728.305257710647
Mornings,CatBoost,0.321337428337428,733.3964019482385
Mornings,CatBoost,0.3250485940485937,733.3964019482385
Mornings,CatBoost,0.32875975975975946,733.3964019482385
Mornings,CatBoost,0.33247092547092516,733.3964019482385
Mornings,CatBoost,0.33618209118209086,733.3964019482385
Mornings,CatBoost,0.33989325689325656,733.3964019482385
Mornings,CatBoost,0.34360442260442225,732.6655934896157
Mornings,CatBoost,0.34731558831558795,732.6655934896157
Mornings,CatBoost,0.3510267540267537,735.0553425974629
Mornings,CatBoost,0.3547379197379194,733.2680873290834
Mornings,CatBoost,0.3584490854490851,733.2680873290834
Mornings,CatBoost,0.3621602511602508,733.2680873290834
Mornings,CatBoost,0.3658714168714165,733.2680873290834
Mornings,CatBoost,0.3695825825825822,733.2680873290834
Mornings,CatBoost,0.37329374829374795,733.2680873290834
Mornings,CatBoost,0.37700491400491365,733.2680873290834
Mornings,CatBoost,0.38071607971607935,775.8528476916723
Mornings,CatBoost,0.38442724542724505,775.8528476916723
Mornings,CatBoost,0.38813841113841074,775.8528476916723
Mornings,CatBoost,0.39184957684957644,775.8528476916723
Mornings,CatBoost,0.3955607425607422,772.023095413909
Mornings,CatBoost,0.3992719082719079,772.023095413909
Mornings,CatBoost,0.4029830739830736,772.023095413909
Mornings,CatBoost,0.4066942396942393,772.023095413909
Mornings,CatBoost,0.410405405405405,772.0400882356413
Mornings,LightGBM,0.043,708.8134518757621
Mornings,LightGBM,0.0467111657111657,708.8134518757621
Mornings,LightGBM,0.050422331422331414,708.8134518757621
Mornings,LightGBM,0.05413349713349712,708.8134518757621
Mornings,LightGBM,0.057844662844662824,708.8134518757621
Mornings,LightGBM,0.06155582855582853,708.8134518757621
Mornings,LightGBM,0.06526699426699424,708.8134518757621
Mornings,LightGBM,0.06897815997815995,708.8134518757621
Mornings,LightGBM,0.07268932568932565,708.909595406575
Mornings,LightGBM,0.07640049140049136,708.909595406575
Mornings,LightGBM,0.08011165711165708,708.909595406575
Mornings,LightGBM,0.08382282282282277,708.909595406575
Mornings,LightGBM,0.08753398853398849,708.909595406575
Mornings,LightGBM,0.0912451542451542,708.909595406575
Mornings,LightGBM,0.0949563199563199,708.9605681861691
Mornings,LightGBM,0.09866748566748561,708.9605681861691
Mornings,LightGBM,0.10237865137865132,708.9605681861691
Mornings,LightGBM,0.10608981708981702,708.9605681861691
Mornings,LightGBM,0.10980098280098273,708.9605681861691
Mornings,LightGBM,0.11351214851214843,706.9969970523018
Mornings,LightGBM,0.11722331422331414,706.9969970523018
Mornings,LightGBM,0.12093447993447985,706.9969970523018
Mornings,LightGBM,0.12464564564564555,707.173002927395
Mornings,LightGBM,0.12835681135681126,707.173002927395
Mornings,LightGBM,0.13206797706797696,707.173002927395
Mornings,LightGBM,0.13577914277914266,707.173002927395
Mornings,LightGBM,0.13949030849030838,705.8957626740547
Mornings,LightGBM,0.1432014742014741,705.8957626740547
Mornings,LightGBM,0.1469126399126398,705.4127659502707
Mornings,LightGBM,0.1506238056238055,705.4127659502707
Mornings,LightGBM,0.1543349713349712,705.4190117561379
Mornings,LightGBM,0.1580461370461369,705.4190117561379
Mornings,LightGBM,0.16175730275730263,705.4309441012663
Mornings,LightGBM,0.16546846846846835,705.4309441012663
Mornings,LightGBM,0.16917963417963405,705.4309441012663
Mornings,LightGBM,0.17289079989079975,705.4411213369553
Mornings,LightGBM,0.17660196560196545,705.4468603826122
Mornings,LightGBM,0.18031313131313115,705.4468603826122
Mornings,LightGBM,0.18402429702429685,705.4595421263135
Mornings,LightGBM,0.1877354627354626,705.4595421263135
Mornings,LightGBM,0.1914466284466283,705.5724114110226
Mornings,LightGBM,0.195157794157794,705.5724114110226
Mornings,LightGBM,0.1988689598689597,704.9099724745274
Mornings,LightGBM,0.2025801255801254,704.9024952600547
Mornings,LightGBM,0.2062912912912911,704.9024952600547
Mornings,LightGBM,0.21000245700245684,735.8359809289177
Mornings,LightGBM,0.21371362271362254,736.0487806732175
Mornings,LightGBM,0.21742478842478824,736.0487806732175
Mornings,LightGBM,0.22113595413595394,736.7922867297642
Mornings,LightGBM,0.22484711984711964,736.8357480670279
Mornings,LightGBM,0.22855828555828533,736.8357480670279
Mornings,LightGBM,0.2322694512694511,736.9207856481194
Mornings,LightGBM,0.2359806169806168,736.9195380225872
Mornings,LightGBM,0.23969178269178248,736.9195380225872
Mornings,LightGBM,0.24340294840294818,736.9195380225872
