Dataset,Model,Footprint mean,Predicted Value
Afternoons,CatBoost,7252.190747474747,1258.4432523479932
Afternoons,CatBoost,7437.62003030303,1258.4432523479932
Afternoons,CatBoost,7623.049313131312,1258.4432523479932
Afternoons,CatBoost,7808.478595959596,1258.4432523479932
Afternoons,CatBoost,7993.907878787878,1258.4432523479932
Afternoons,CatBoost,8179.337161616161,1258.4432523479932
Afternoons,CatBoost,8364.766444444444,1258.4432523479932
Afternoons,CatBoost,8550.195727272727,1258.4432523479932
Afternoons,CatBoost,8735.62501010101,1258.4432523479932
Afternoons,CatBoost,8921.054292929293,1258.4432523479932
Afternoons,CatBoost,9106.483575757577,1255.8171388488242
Afternoons,CatBoost,9291.91285858586,1255.8171388488242
Afternoons,CatBoost,9477.342141414141,1255.8171388488242
Afternoons,CatBoost,9662.771424242424,1255.8171388488242
Afternoons,CatBoost,9848.200707070708,1255.8171388488242
Afternoons,CatBoost,10033.629989898991,1255.8171388488242
Afternoons,CatBoost,10219.059272727272,1255.8171388488242
Afternoons,CatBoost,10404.488555555556,1255.8171388488242
Afternoons,CatBoost,10589.917838383839,1255.8171388488242
Afternoons,CatBoost,10775.347121212122,1255.8171388488242
Afternoons,CatBoost,10960.776404040404,1255.8171388488242
Afternoons,CatBoost,11146.205686868687,1255.8171388488242
Afternoons,CatBoost,11331.63496969697,1255.8171388488242
Afternoons,CatBoost,11517.064252525253,1255.8171388488242
Afternoons,CatBoost,11702.493535353535,1255.8171388488242
Afternoons,CatBoost,11887.922818181818,1255.8171388488242
Afternoons,CatBoost,12073.352101010101,1255.8171388488242
Afternoons,CatBoost,12258.781383838384,1255.8171388488242
Afternoons,CatBoost,12444.210666666668,1255.8171388488242
Afternoons,CatBoost,12629.63994949495,1255.8171388488242
Afternoons,CatBoost,12815.069232323232,1255.8171388488242
Afternoons,CatBoost,13000.498515151516,1255.8171388488242
Afternoons,CatBoost,13185.927797979799,1255.8171388488242
Afternoons,CatBoost,13371.35708080808,1255.8171388488242
Afternoons,CatBoost,13556.786363636364,1255.8171388488242
Afternoons,CatBoost,13742.215646464647,1255.8171388488242
Afternoons,CatBoost,13927.64492929293,1255.8171388488242
Afternoons,CatBoost,14113.074212121212,1255.8171388488242
Afternoons,CatBoost,14298.503494949495,1255.8171388488242
Afternoons,CatBoost,14483.932777777778,1255.8171388488242
Afternoons,CatBoost,14669.362060606061,1255.8171388488242
Afternoons,CatBoost,14854.791343434343,1255.8171388488242
Afternoons,CatBoost,15040.220626262626,1255.0766211019948
Afternoons,CatBoost,15225.64990909091,1255.0766211019948
Afternoons,CatBoost,15411.079191919192,1255.0766211019948
Afternoons,CatBoost,15596.508474747476,1255.0766211019948
Afternoons,CatBoost,15781.937757575757,1255.0766211019948
Afternoons,CatBoost,15967.36704040404,1255.0766211019948
Afternoons,CatBoost,16152.796323232324,1255.0766211019948
Afternoons,CatBoost,16338.225606060607,1255.0766211019948
Afternoons,CatBoost,16523.654888888886,1255.0766211019948
