Dataset,Model,5 Bus count,Predicted Value
Mornings,LightGBM,9.393939393939394,718.0616804299798
Mornings,LightGBM,9.545454545454545,718.0616804299798
Mornings,LightGBM,9.696969696969697,718.0616804299798
Mornings,LightGBM,9.84848484848485,718.0616804299798
Mornings,LightGBM,10.0,718.0616804299798
Mornings,LightGBM,10.151515151515152,718.0616804299798
Mornings,LightGBM,10.303030303030303,718.0616804299798
Mornings,LightGBM,10.454545454545455,718.0616804299798
Mornings,LightGBM,10.606060606060606,712.9655759965106
Mornings,LightGBM,10.757575757575758,712.9655759965106
Mornings,LightGBM,10.90909090909091,712.9655759965106
Mornings,LightGBM,11.06060606060606,712.9655759965106
Mornings,LightGBM,11.212121212121213,712.9655759965106
Mornings,LightGBM,11.363636363636363,712.9655759965106
Mornings,LightGBM,11.515151515151516,712.9655759965106
Mornings,LightGBM,11.666666666666668,712.9655759965106
Mornings,LightGBM,11.818181818181818,712.9655759965106
Mornings,LightGBM,11.96969696969697,712.9655759965106
Mornings,LightGBM,12.121212121212121,712.9655759965106
Mornings,LightGBM,12.272727272727273,712.9655759965106
Mornings,LightGBM,12.424242424242424,712.9655759965106
Mornings,LightGBM,12.575757575757576,712.9655759965106
Mornings,LightGBM,12.727272727272728,712.9655759965106
Mornings,LightGBM,12.878787878787879,712.9655759965106
Mornings,LightGBM,13.030303030303031,712.9655759965106
Mornings,LightGBM,13.181818181818182,712.9655759965106
Mornings,LightGBM,13.333333333333334,712.9655759965106
Mornings,LightGBM,13.484848484848484,712.9655759965106
Mornings,LightGBM,13.636363636363637,712.9655759965106
Mornings,LightGBM,13.787878787878789,712.9655759965106
Mornings,LightGBM,13.93939393939394,712.9655759965106
Mornings,LightGBM,14.090909090909092,712.9655759965106
Mornings,LightGBM,14.242424242424242,712.9655759965106
Mornings,LightGBM,14.393939393939394,712.9655759965106
Mornings,LightGBM,14.545454545454547,712.9655759965106
Mornings,LightGBM,14.696969696969697,712.9655759965106
Mornings,LightGBM,14.84848484848485,712.9655759965106
Mornings,LightGBM,15.0,712.9655759965106
Mornings,XGBoost,0.0,756.4572143554688
Mornings,XGBoost,0.15151515151515152,756.4572143554688
Mornings,XGBoost,0.30303030303030304,756.4572143554688
Mornings,XGBoost,0.4545454545454546,756.4572143554688
Mornings,XGBoost,0.6060606060606061,756.4572143554688
