Dataset,Model,Day,Predicted Value
Evenings,XGBoost,1.0,533.338134765625
Evenings,XGBoost,1.303030303030303,533.338134765625
Evenings,XGBoost,1.606060606060606,533.338134765625
Evenings,XGBoost,1.9090909090909092,533.338134765625
Evenings,XGBoost,2.212121212121212,530.7070922851562
Evenings,XGBoost,2.515151515151515,530.7070922851562
Evenings,XGBoost,2.8181818181818183,530.7070922851562
Evenings,XGBoost,3.121212121212121,532.1687622070312
Evenings,XGBoost,3.4242424242424243,532.1687622070312
Evenings,XGBoost,3.7272727272727275,532.1687622070312
Evenings,XGBoost,4.03030303030303,536.6934814453125
Evenings,XGBoost,4.333333333333334,536.6934814453125
Evenings,XGBoost,4.636363636363637,536.6934814453125
Evenings,XGBoost,4.9393939393939394,536.6934814453125
Evenings,XGBoost,5.242424242424242,535.3157348632812
Evenings,XGBoost,5.545454545454546,535.3157348632812
Evenings,XGBoost,5.848484848484849,535.3157348632812
Evenings,XGBoost,6.151515151515151,534.7421264648438
Evenings,XGBoost,6.454545454545455,534.7421264648438
Evenings,XGBoost,6.757575757575758,534.7421264648438
Evenings,XGBoost,7.0606060606060606,535.4588623046875
Evenings,XGBoost,7.363636363636364,535.4588623046875
Evenings,XGBoost,7.666666666666667,535.4588623046875
Evenings,XGBoost,7.96969696969697,535.4588623046875
Evenings,XGBoost,8.272727272727273,538.5852661132812
Evenings,XGBoost,8.575757575757576,538.5852661132812
Evenings,XGBoost,8.878787878787879,538.5852661132812
Evenings,XGBoost,9.181818181818182,535.1565551757812
Evenings,XGBoost,9.484848484848484,535.1565551757812
Evenings,XGBoost,9.787878787878789,535.1565551757812
Evenings,XGBoost,10.090909090909092,535.029541015625
Evenings,XGBoost,10.393939393939394,535.029541015625
Evenings,XGBoost,10.696969696969697,535.029541015625
Evenings,XGBoost,11.0,539.8212890625
Evenings,XGBoost,11.303030303030303,539.8212890625
Evenings,XGBoost,11.606060606060606,539.8212890625
Evenings,XGBoost,11.90909090909091,539.8212890625
Evenings,XGBoost,12.212121212121213,543.06494140625
Evenings,XGBoost,12.515151515151516,543.06494140625
Evenings,XGBoost,12.818181818181818,543.06494140625
Evenings,XGBoost,13.121212121212121,538.3143920898438
Evenings,XGBoost,13.424242424242424,538.3143920898438
Evenings,XGBoost,13.727272727272728,538.3143920898438
Evenings,XGBoost,14.030303030303031,538.16845703125
Evenings,XGBoost,14.333333333333334,538.16845703125
Evenings,XGBoost,14.636363636363637,538.16845703125
Evenings,XGBoost,14.93939393939394,538.16845703125
Evenings,XGBoost,15.242424242424242,538.4303588867188
Evenings,XGBoost,15.545454545454547,538.4303588867188
Evenings,XGBoost,15.84848484848485,538.4303588867188
Evenings,XGBoost,16.151515151515152,539.2613525390625
Evenings,XGBoost,16.454545454545453,539.2613525390625
Evenings,XGBoost,16.757575757575758,539.2613525390625
Evenings,XGBoost,17.060606060606062,538.8012084960938
Evenings,XGBoost,17.363636363636363,538.8012084960938
Evenings,XGBoost,17.666666666666668,538.8012084960938
Evenings,XGBoost,17.96969696969697,538.8012084960938
Evenings,XGBoost,18.272727272727273,541.0269775390625
Evenings,XGBoost,18.575757575757578,541.0269775390625
Evenings,XGBoost,18.87878787878788,541.0269775390625
Evenings,XGBoost,19.181818181818183,540.706298828125
Evenings,XGBoost,19.484848484848484,540.706298828125
Evenings,XGBoost,19.78787878787879,540.706298828125
Evenings,XGBoost,20.09090909090909,538.4886474609375
Evenings,XGBoost,20.393939393939394,538.4886474609375
Evenings,XGBoost,20.6969696969697,538.4886474609375
Evenings,XGBoost,21.0,543.3955078125
Evenings,XGBoost,21.303030303030305,543.3955078125
Evenings,XGBoost,21.606060606060606,543.3955078125
Evenings,XGBoost,21.90909090909091,543.3955078125
Evenings,XGBoost,22.21212121212121,547.1785278320312
Evenings,XGBoost,22.515151515151516,547.1785278320312
Evenings,XGBoost,22.81818181818182,547.1785278320312
Evenings,XGBoost,23.12121212121212,547.4163208007812
Evenings,XGBoost,23.424242424242426,547.4163208007812
Evenings,XGBoost,23.727272727272727,547.4163208007812
Evenings,XGBoost,24.03030303030303,550.564453125
Evenings,XGBoost,24.333333333333336,550.564453125
Evenings,XGBoost,24.636363636363637,550.564453125
Evenings,XGBoost,24.93939393939394,550.564453125
Evenings,XGBoost,25.242424242424242,544.0565795898438
Evenings,XGBoost,25.545454545454547,544.0565795898438
Evenings,XGBoost,25.848484848484848,544.0565795898438
