Dataset,Model,Year,Predicted Value
Lunches,LightGBM,2013.6464646464647,1100.417450486341
Lunches,LightGBM,2013.7474747474748,1100.417450486341
Lunches,LightGBM,2013.8484848484848,1100.417450486341
Lunches,LightGBM,2013.949494949495,1100.417450486341
Lunches,LightGBM,2014.050505050505,1100.417450486341
Lunches,LightGBM,2014.1515151515152,1100.417450486341
Lunches,LightGBM,2014.2525252525252,1100.417450486341
Lunches,LightGBM,2014.3535353535353,1100.417450486341
Lunches,LightGBM,2014.4545454545455,1100.417450486341
Lunches,LightGBM,2014.5555555555557,1115.7528834945651
Lunches,LightGBM,2014.6565656565656,1115.7528834945651
Lunches,LightGBM,2014.7575757575758,1115.7528834945651
Lunches,LightGBM,2014.858585858586,1115.7528834945651
Lunches,LightGBM,2014.959595959596,1115.7528834945651
Lunches,LightGBM,2015.060606060606,1115.7528834945651
Lunches,LightGBM,2015.1616161616162,1115.7528834945651
Lunches,LightGBM,2015.2626262626263,1115.7528834945651
Lunches,LightGBM,2015.3636363636363,1115.7528834945651
Lunches,LightGBM,2015.4646464646464,1115.7528834945651
Lunches,LightGBM,2015.5656565656566,1120.5588043671255
Lunches,LightGBM,2015.6666666666667,1120.5588043671255
Lunches,LightGBM,2015.7676767676767,1120.5588043671255
Lunches,LightGBM,2015.8686868686868,1120.5588043671255
Lunches,LightGBM,2015.969696969697,1120.5588043671255
Lunches,LightGBM,2016.0707070707072,1120.5588043671255
Lunches,LightGBM,2016.171717171717,1120.5588043671255
Lunches,LightGBM,2016.2727272727273,1120.5588043671255
Lunches,LightGBM,2016.3737373737374,1120.5588043671255
Lunches,LightGBM,2016.4747474747476,1120.5588043671255
Lunches,LightGBM,2016.5757575757575,1124.982261827918
Lunches,LightGBM,2016.6767676767677,1124.982261827918
Lunches,LightGBM,2016.7777777777778,1124.982261827918
Lunches,LightGBM,2016.878787878788,1124.982261827918
Lunches,LightGBM,2016.979797979798,1124.982261827918
Lunches,LightGBM,2017.080808080808,1124.982261827918
Lunches,LightGBM,2017.1818181818182,1124.982261827918
Lunches,LightGBM,2017.2828282828282,1124.982261827918
Lunches,LightGBM,2017.3838383838383,1124.982261827918
Lunches,LightGBM,2017.4848484848485,1124.982261827918
Lunches,LightGBM,2017.5858585858587,1131.1610292565679
Lunches,LightGBM,2017.6868686868686,1131.1610292565679
Lunches,LightGBM,2017.7878787878788,1131.1610292565679
Lunches,LightGBM,2017.888888888889,1131.1610292565679
Lunches,LightGBM,2017.989898989899,1131.1610292565679
Lunches,LightGBM,2018.090909090909,1131.1610292565679
Lunches,LightGBM,2018.1919191919192,1131.1610292565679
Lunches,LightGBM,2018.2929292929293,1131.1610292565679
Lunches,LightGBM,2018.3939393939395,1131.1610292565679
Lunches,LightGBM,2018.4949494949494,1131.1610292565679
Lunches,LightGBM,2018.5959595959596,1122.0586540358145
Lunches,LightGBM,2018.6969696969697,1122.0586540358145
Lunches,LightGBM,2018.79797979798,1122.0586540358145
Lunches,LightGBM,2018.8989898989898,1122.0586540358145
Lunches,LightGBM,2019.0,1122.0586540358145
Lunches,XGBoost,2009.0,1096.47509765625
Lunches,XGBoost,2009.1010101010102,1096.47509765625
Lunches,XGBoost,2009.20202020202,1096.47509765625
Lunches,XGBoost,2009.3030303030303,1096.47509765625
Lunches,XGBoost,2009.4040404040404,1096.47509765625
Lunches,XGBoost,2009.5050505050506,1096.47509765625
Lunches,XGBoost,2009.6060606060605,1096.47509765625
Lunches,XGBoost,2009.7070707070707,1096.47509765625
Lunches,XGBoost,2009.8080808080808,1096.47509765625
Lunches,XGBoost,2009.909090909091,1096.47509765625
Lunches,XGBoost,2010.010101010101,1084.6673583984375
Lunches,XGBoost,2010.111111111111,1084.6673583984375
Lunches,XGBoost,2010.2121212121212,1084.6673583984375
Lunches,XGBoost,2010.3131313131314,1084.6673583984375
Lunches,XGBoost,2010.4141414141413,1084.6673583984375
Lunches,XGBoost,2010.5151515151515,1084.6673583984375
Lunches,XGBoost,2010.6161616161617,1084.6673583984375
Lunches,XGBoost,2010.7171717171718,1084.6673583984375
Lunches,XGBoost,2010.8181818181818,1084.6673583984375
Lunches,XGBoost,2010.919191919192,1084.6673583984375
Lunches,XGBoost,2011.020202020202,1086.91357421875
Lunches,XGBoost,2011.121212121212,1086.91357421875
Lunches,XGBoost,2011.2222222222222,1086.91357421875
Lunches,XGBoost,2011.3232323232323,1086.91357421875
Lunches,XGBoost,2011.4242424242425,1086.91357421875
Lunches,XGBoost,2011.5252525252524,1086.91357421875
Lunches,XGBoost,2011.6262626262626,1086.91357421875
Lunches,XGBoost,2011.7272727272727,1086.91357421875
Lunches,XGBoost,2011.828282828283,1086.91357421875
Lunches,XGBoost,2011.9292929292928,1086.91357421875
Lunches,XGBoost,2012.030303030303,1092.6263427734375
Lunches,XGBoost,2012.1313131313132,1092.6263427734375
Lunches,XGBoost,2012.2323232323233,1092.6263427734375
Lunches,XGBoost,2012.3333333333333,1092.6263427734375
Lunches,XGBoost,2012.4343434343434,1092.6263427734375
Lunches,XGBoost,2012.5353535353536,1092.6263427734375
Lunches,XGBoost,2012.6363636363637,1092.6263427734375
Lunches,XGBoost,2012.7373737373737,1092.6263427734375
Lunches,XGBoost,2012.8383838383838,1092.6263427734375
Lunches,XGBoost,2012.939393939394,1092.6263427734375
Lunches,XGBoost,2013.040404040404,1090.375
Lunches,XGBoost,2013.141414141414,1090.375
Lunches,XGBoost,2013.2424242424242,1090.375
Lunches,XGBoost,2013.3434343434344,1090.375
Lunches,XGBoost,2013.4444444444443,1090.375
Lunches,XGBoost,2013.5454545454545,1090.375
Lunches,XGBoost,2013.6464646464647,1090.375
Lunches,XGBoost,2013.7474747474748,1090.375
Lunches,XGBoost,2013.8484848484848,1090.375
Lunches,XGBoost,2013.949494949495,1090.375
Lunches,XGBoost,2014.050505050505,1097.8914794921875
Lunches,XGBoost,2014.1515151515152,1097.8914794921875
Lunches,XGBoost,2014.2525252525252,1097.8914794921875
Lunches,XGBoost,2014.3535353535353,1097.8914794921875
Lunches,XGBoost,2014.4545454545455,1097.8914794921875
Lunches,XGBoost,2014.5555555555557,1097.8914794921875
Lunches,XGBoost,2014.6565656565656,1097.8914794921875
Lunches,XGBoost,2014.7575757575758,1097.8914794921875
Lunches,XGBoost,2014.858585858586,1097.8914794921875
Lunches,XGBoost,2014.959595959596,1097.8914794921875
Lunches,XGBoost,2015.060606060606,1113.06005859375
Lunches,XGBoost,2015.1616161616162,1113.06005859375
Lunches,XGBoost,2015.2626262626263,1113.06005859375
Lunches,XGBoost,2015.3636363636363,1113.06005859375
Lunches,XGBoost,2015.4646464646464,1113.06005859375
Lunches,XGBoost,2015.5656565656566,1113.06005859375
Lunches,XGBoost,2015.6666666666667,1113.06005859375
Lunches,XGBoost,2015.7676767676767,1113.06005859375
Lunches,XGBoost,2015.8686868686868,1113.06005859375
Lunches,XGBoost,2015.969696969697,1113.06005859375
Lunches,XGBoost,2016.0707070707072,1115.10693359375
Lunches,XGBoost,2016.171717171717,1115.10693359375
Lunches,XGBoost,2016.2727272727273,1115.10693359375
Lunches,XGBoost,2016.3737373737374,1115.10693359375
Lunches,XGBoost,2016.4747474747476,1115.10693359375
Lunches,XGBoost,2016.5757575757575,1115.10693359375
Lunches,XGBoost,2016.6767676767677,1115.10693359375
Lunches,XGBoost,2016.7777777777778,1115.10693359375
Lunches,XGBoost,2016.878787878788,1115.10693359375
Lunches,XGBoost,2016.979797979798,1115.10693359375
Lunches,XGBoost,2017.080808080808,1117.699462890625
Lunches,XGBoost,2017.1818181818182,1117.699462890625
Lunches,XGBoost,2017.2828282828282,1117.699462890625
Lunches,XGBoost,2017.3838383838383,1117.699462890625
Lunches,XGBoost,2017.4848484848485,1117.699462890625
Lunches,XGBoost,2017.5858585858587,1117.699462890625
Lunches,XGBoost,2017.6868686868686,1117.699462890625
Lunches,XGBoost,2017.7878787878788,1117.699462890625
Lunches,XGBoost,2017.888888888889,1117.699462890625
Lunches,XGBoost,2017.989898989899,1117.699462890625
Lunches,XGBoost,2018.090909090909,1122.3531494140625
Lunches,XGBoost,2018.1919191919192,1122.3531494140625
Lunches,XGBoost,2018.2929292929293,1122.3531494140625
Lunches,XGBoost,2018.3939393939395,1122.3531494140625
Lunches,XGBoost,2018.4949494949494,1122.3531494140625
Lunches,XGBoost,2018.5959595959596,1122.3531494140625
Lunches,XGBoost,2018.6969696969697,1122.3531494140625
Lunches,XGBoost,2018.79797979798,1122.3531494140625
Lunches,XGBoost,2018.8989898989898,1122.3531494140625
Lunches,XGBoost,2019.0,1117.4342041015625
Afternoons,CatBoost,2009.0,1162.7888121250314
Afternoons,CatBoost,2009.1010101010102,1162.7888121250314
Afternoons,CatBoost,2009.20202020202,1162.7888121250314
Afternoons,CatBoost,2009.3030303030303,1162.7888121250314
Afternoons,CatBoost,2009.4040404040404,1162.7888121250314
Afternoons,CatBoost,2009.5050505050506,1144.1070098383188
Afternoons,CatBoost,2009.6060606060605,1144.1070098383188
Afternoons,CatBoost,2009.7070707070707,1144.1070098383188
Afternoons,CatBoost,2009.8080808080808,1144.1070098383188
Afternoons,CatBoost,2009.909090909091,1144.1070098383188
Afternoons,CatBoost,2010.010101010101,1144.1070098383188
Afternoons,CatBoost,2010.111111111111,1144.1070098383188
Afternoons,CatBoost,2010.2121212121212,1144.1070098383188
Afternoons,CatBoost,2010.3131313131314,1144.1070098383188
Afternoons,CatBoost,2010.4141414141413,1144.1070098383188
Afternoons,CatBoost,2010.5151515151515,1194.9828457852404
Afternoons,CatBoost,2010.6161616161617,1194.9828457852404
Afternoons,CatBoost,2010.7171717171718,1194.9828457852404
Afternoons,CatBoost,2010.8181818181818,1194.9828457852404
Afternoons,CatBoost,2010.919191919192,1194.9828457852404
Afternoons,CatBoost,2011.020202020202,1194.9828457852404
Afternoons,CatBoost,2011.121212121212,1194.9828457852404
Afternoons,CatBoost,2011.2222222222222,1194.9828457852404
Afternoons,CatBoost,2011.3232323232323,1194.9828457852404
Afternoons,CatBoost,2011.4242424242425,1194.9828457852404
Afternoons,CatBoost,2011.5252525252524,1199.83184968375
Afternoons,CatBoost,2011.6262626262626,1199.83184968375
Afternoons,CatBoost,2011.7272727272727,1199.83184968375
Afternoons,CatBoost,2011.828282828283,1199.83184968375
Afternoons,CatBoost,2011.9292929292928,1199.83184968375
Afternoons,CatBoost,2012.030303030303,1199.83184968375
Afternoons,CatBoost,2012.1313131313132,1199.83184968375
Afternoons,CatBoost,2012.2323232323233,1199.83184968375
