Dataset,Model,Total precipitation,Predicted Value
Lunches,XGBoost,0.05493434343434344,1077.5430908203125
Lunches,XGBoost,0.08240151515151516,1075.3175048828125
Lunches,XGBoost,0.10986868686868688,1073.264892578125
Lunches,XGBoost,0.1373358585858586,1068.1038818359375
Lunches,XGBoost,0.1648030303030303,1068.4046630859375
Lunches,XGBoost,0.19227020202020204,1079.809814453125
Lunches,XGBoost,0.21973737373737376,1073.7032470703125
Lunches,XGBoost,0.24720454545454548,1075.004150390625
Lunches,XGBoost,0.2746717171717172,1072.0091552734375
Lunches,XGBoost,0.3021388888888889,1068.76318359375
Lunches,XGBoost,0.3296060606060606,1073.6778564453125
Lunches,XGBoost,0.35707323232323235,1076.71484375
Lunches,XGBoost,0.38454040404040407,1076.71484375
Lunches,XGBoost,0.4120075757575758,1079.478515625
Lunches,XGBoost,0.4394747474747475,1074.5086669921875
Lunches,XGBoost,0.46694191919191924,1065.7833251953125
Lunches,XGBoost,0.49440909090909096,1062.6898193359375
Lunches,XGBoost,0.5218762626262626,1064.7257080078125
Lunches,XGBoost,0.5493434343434344,1065.6312255859375
Lunches,XGBoost,0.5768106060606061,1065.1868896484375
Lunches,XGBoost,0.6042777777777778,1068.667236328125
Lunches,XGBoost,0.6317449494949495,1068.667236328125
Lunches,XGBoost,0.6592121212121212,1068.667236328125
Lunches,XGBoost,0.686679292929293,1070.5072021484375
Lunches,XGBoost,0.7141464646464647,1070.5072021484375
Lunches,XGBoost,0.7416136363636364,1079.877685546875
Lunches,XGBoost,0.7690808080808081,1079.877685546875
Lunches,XGBoost,0.7965479797979799,1075.8212890625
Lunches,XGBoost,0.8240151515151516,1075.8212890625
Lunches,XGBoost,0.8514823232323233,1075.8212890625
Lunches,XGBoost,0.878949494949495,1075.86328125
Lunches,XGBoost,0.9064166666666668,1075.86328125
Lunches,XGBoost,0.9338838383838385,1075.86328125
Lunches,XGBoost,0.9613510101010102,1076.2275390625
Lunches,XGBoost,0.9888181818181819,1076.2275390625
Lunches,XGBoost,1.0162853535353535,1074.9000244140625
Lunches,XGBoost,1.0437525252525253,1074.9000244140625
Lunches,XGBoost,1.071219696969697,1074.9000244140625
Lunches,XGBoost,1.0986868686868687,1075.1763916015625
Lunches,XGBoost,1.1261540404040404,1075.1763916015625
Lunches,XGBoost,1.1536212121212122,1075.2337646484375
Lunches,XGBoost,1.1810883838383839,1075.2337646484375
Lunches,XGBoost,1.2085555555555556,1075.2337646484375
Lunches,XGBoost,1.2360227272727273,1079.8192138671875
Lunches,XGBoost,1.263489898989899,1079.8192138671875
Lunches,XGBoost,1.2909570707070708,1079.8192138671875
Lunches,XGBoost,1.3184242424242425,1079.8192138671875
Lunches,XGBoost,1.3458914141414142,1077.8621826171875
Lunches,XGBoost,1.373358585858586,1073.30078125
Lunches,XGBoost,1.4008257575757577,1073.30078125
Lunches,XGBoost,1.4282929292929294,1073.30078125
Lunches,XGBoost,1.4557601010101011,1073.30078125
Lunches,XGBoost,1.4832272727272728,1073.30078125
Lunches,XGBoost,1.5106944444444446,1073.30078125
Lunches,XGBoost,1.5381616161616163,1073.30078125
Lunches,XGBoost,1.565628787878788,1204.072265625
Lunches,XGBoost,1.5930959595959597,1204.072265625
Lunches,XGBoost,1.6205631313131315,1204.072265625
Lunches,XGBoost,1.6480303030303032,1204.072265625
Lunches,XGBoost,1.675497474747475,1204.072265625
Lunches,XGBoost,1.7029646464646466,1204.072265625
Lunches,XGBoost,1.7304318181818183,1204.072265625
Lunches,XGBoost,1.75789898989899,1020.0706176757812
Lunches,XGBoost,1.7853661616161618,1020.0706176757812
Lunches,XGBoost,1.8128333333333335,1020.0706176757812
Lunches,XGBoost,1.8403005050505052,1020.0706176757812
Lunches,XGBoost,1.867767676767677,1020.0706176757812
Lunches,XGBoost,1.8952348484848487,1020.0706176757812
Lunches,XGBoost,1.9227020202020204,1020.0706176757812
Lunches,XGBoost,1.9501691919191921,1020.0706176757812
