Dataset,Model,Longitude,Predicted Value
Evenings,CatBoost,144.95867282202022,523.4781389624486
Evenings,CatBoost,144.95901149848484,522.6144739115593
Evenings,CatBoost,144.9593501749495,522.6144739115593
Evenings,CatBoost,144.95968885141414,522.6144739115593
Evenings,CatBoost,144.9600275278788,522.6144739115593
Evenings,CatBoost,144.96036620434344,522.6144739115593
Evenings,CatBoost,144.9607048808081,522.4148318440073
Evenings,CatBoost,144.96104355727272,522.4148318440073
Evenings,CatBoost,144.96138223373737,522.4148318440073
Evenings,CatBoost,144.96172091020202,503.762640284879
Evenings,CatBoost,144.96205958666667,515.2443587965489
Evenings,CatBoost,144.96239826313132,523.2978610601014
Evenings,CatBoost,144.96273693959597,523.2978610601014
Evenings,CatBoost,144.96307561606062,533.8893272672798
Evenings,CatBoost,144.96341429252524,534.2229677805022
Evenings,CatBoost,144.9637529689899,534.2229677805022
Evenings,CatBoost,144.96409164545454,540.3704179381992
Evenings,CatBoost,144.9644303219192,550.0605658915661
Evenings,CatBoost,144.96476899838385,550.8353375323483
Evenings,CatBoost,144.9651076748485,550.8353375323483
Evenings,CatBoost,144.96544635131312,552.290903859642
Evenings,CatBoost,144.96578502777777,552.5652085778937
Evenings,CatBoost,144.96612370424242,552.6583168576789
Evenings,CatBoost,144.96646238070707,552.6694264973776
Evenings,CatBoost,144.96680105717172,552.6694264973776
Evenings,CatBoost,144.96713973363637,552.7329835179391
Evenings,CatBoost,144.96747841010102,552.7329835179391
Evenings,CatBoost,144.96781708656565,552.7329835179391
Evenings,CatBoost,144.9681557630303,547.7703335641766
