Dataset,Model,Longitude,Predicted Value
Evenings,CatBoost,144.96849443949495,547.7703335641766
Evenings,CatBoost,144.9688331159596,547.1913888973414
Evenings,CatBoost,144.96917179242425,547.1913888973414
Evenings,CatBoost,144.9695104688889,547.1913888973414
Evenings,CatBoost,144.96984914535355,547.1913888973414
Evenings,CatBoost,144.97018782181817,547.1913888973414
Evenings,CatBoost,144.97052649828282,547.1913888973414
Evenings,CatBoost,144.97086517474747,547.1913888973414
Evenings,CatBoost,144.97120385121212,547.1913888973414
Evenings,CatBoost,144.97154252767677,547.1913888973414
Evenings,CatBoost,144.97188120414143,547.1913888973414
Evenings,CatBoost,144.97221988060605,547.1913888973414
Evenings,CatBoost,144.9725585570707,547.1913888973414
Evenings,CatBoost,144.97289723353535,547.1913888973414
Evenings,CatBoost,144.97323591,547.8482323276245
Mornings Special,CatBoost,144.93970694,297.7559810302521
Mornings Special,CatBoost,144.94004561646466,297.7559810302521
Mornings Special,CatBoost,144.9403842929293,297.7559810302521
Mornings Special,CatBoost,144.94072296939396,297.7559810302521
Mornings Special,CatBoost,144.94106164585858,297.7559810302521
Mornings Special,CatBoost,144.94140032232323,297.7559810302521
Mornings Special,CatBoost,144.94173899878788,297.7559810302521
Mornings Special,CatBoost,144.94207767525253,297.7559810302521
Mornings Special,CatBoost,144.94241635171718,297.7559810302521
Mornings Special,CatBoost,144.94275502818184,297.7559810302521
Mornings Special,CatBoost,144.94309370464646,297.7559810302521
Mornings Special,CatBoost,144.9434323811111,297.7559810302521
Mornings Special,CatBoost,144.94377105757576,297.7559810302521
Mornings Special,CatBoost,144.9441097340404,297.7559810302521
Mornings Special,CatBoost,144.94444841050506,297.7559810302521
Mornings Special,CatBoost,144.9447870869697,297.7559810302521
Mornings Special,CatBoost,144.94512576343436,298.3733635695944
Mornings Special,CatBoost,144.94546443989898,298.3733635695944
