Dataset,Model,Day type,Predicted Value
All,LightGBM,0.9494949494949496,512.4789777330228
All,LightGBM,0.9595959595959597,512.4789777330228
All,LightGBM,0.9696969696969697,512.4789777330228
All,LightGBM,0.9797979797979799,512.4789777330228
All,LightGBM,0.98989898989899,512.4789777330228
All,LightGBM,1.0,512.4789777330228
All,XGBoost,0.0,627.9327392578125
All,XGBoost,0.010101010101010102,627.9327392578125
All,XGBoost,0.020202020202020204,627.9327392578125
All,XGBoost,0.030303030303030304,627.9327392578125
All,XGBoost,0.04040404040404041,627.9327392578125
All,XGBoost,0.05050505050505051,627.9327392578125
All,XGBoost,0.06060606060606061,627.9327392578125
All,XGBoost,0.07070707070707072,627.9327392578125
All,XGBoost,0.08080808080808081,627.9327392578125
All,XGBoost,0.09090909090909091,627.9327392578125
All,XGBoost,0.10101010101010102,627.9327392578125
All,XGBoost,0.11111111111111112,627.9327392578125
All,XGBoost,0.12121212121212122,627.9327392578125
All,XGBoost,0.13131313131313133,627.9327392578125
All,XGBoost,0.14141414141414144,627.9327392578125
All,XGBoost,0.15151515151515152,627.9327392578125
All,XGBoost,0.16161616161616163,627.9327392578125
All,XGBoost,0.17171717171717174,627.9327392578125
All,XGBoost,0.18181818181818182,627.9327392578125
All,XGBoost,0.19191919191919193,627.9327392578125
All,XGBoost,0.20202020202020204,627.9327392578125
All,XGBoost,0.21212121212121213,627.9327392578125
All,XGBoost,0.22222222222222224,627.9327392578125
All,XGBoost,0.23232323232323235,627.9327392578125
All,XGBoost,0.24242424242424243,627.9327392578125
All,XGBoost,0.25252525252525254,627.9327392578125
All,XGBoost,0.26262626262626265,627.9327392578125
All,XGBoost,0.27272727272727276,627.9327392578125
All,XGBoost,0.2828282828282829,627.9327392578125
All,XGBoost,0.29292929292929293,627.9327392578125
All,XGBoost,0.30303030303030304,627.9327392578125
All,XGBoost,0.31313131313131315,627.9327392578125
All,XGBoost,0.32323232323232326,627.9327392578125
All,XGBoost,0.33333333333333337,627.9327392578125
All,XGBoost,0.3434343434343435,627.9327392578125
All,XGBoost,0.3535353535353536,627.9327392578125
All,XGBoost,0.36363636363636365,627.9327392578125
All,XGBoost,0.37373737373737376,627.9327392578125
All,XGBoost,0.38383838383838387,627.9327392578125
All,XGBoost,0.393939393939394,627.9327392578125
All,XGBoost,0.4040404040404041,627.9327392578125
All,XGBoost,0.4141414141414142,627.9327392578125
All,XGBoost,0.42424242424242425,627.9327392578125
All,XGBoost,0.43434343434343436,627.9327392578125
All,XGBoost,0.4444444444444445,627.9327392578125
All,XGBoost,0.4545454545454546,627.9327392578125
All,XGBoost,0.4646464646464647,627.9327392578125
All,XGBoost,0.4747474747474748,627.9327392578125
All,XGBoost,0.48484848484848486,627.9327392578125
All,XGBoost,0.494949494949495,627.9327392578125
All,XGBoost,0.5050505050505051,627.9327392578125
All,XGBoost,0.5151515151515152,627.9327392578125
All,XGBoost,0.5252525252525253,627.9327392578125
All,XGBoost,0.5353535353535354,627.9327392578125
All,XGBoost,0.5454545454545455,627.9327392578125
All,XGBoost,0.5555555555555556,627.9327392578125
All,XGBoost,0.5656565656565657,627.9327392578125
All,XGBoost,0.5757575757575758,627.9327392578125
All,XGBoost,0.5858585858585859,627.9327392578125
All,XGBoost,0.595959595959596,627.9327392578125
All,XGBoost,0.6060606060606061,627.9327392578125
All,XGBoost,0.6161616161616162,627.9327392578125
All,XGBoost,0.6262626262626263,627.9327392578125
All,XGBoost,0.6363636363636365,627.9327392578125
All,XGBoost,0.6464646464646465,627.9327392578125
All,XGBoost,0.6565656565656566,627.9327392578125
All,XGBoost,0.6666666666666667,627.9327392578125
