Dataset,Model,15 Dwelling count,Predicted Value
Mornings,LightGBM,28215.484848484848,785.4668771598014
Mornings,LightGBM,28510.73737373737,767.4074581881723
Mornings,LightGBM,28805.989898989897,764.0857108710093
Mornings,LightGBM,29101.242424242424,764.0857108710093
Mornings,LightGBM,29396.494949494947,764.0857108710093
Mornings,LightGBM,29691.747474747473,798.7232397591536
Mornings,LightGBM,29987.0,798.7232397591536
Mornings,XGBoost,757.0,681.5986328125
Mornings,XGBoost,1052.2525252525252,681.5986328125
Mornings,XGBoost,1347.5050505050503,681.5986328125
Mornings,XGBoost,1642.7575757575758,681.6338500976562
Mornings,XGBoost,1938.010101010101,681.6338500976562
Mornings,XGBoost,2233.2626262626263,681.6338500976562
Mornings,XGBoost,2528.5151515151515,681.6338500976562
Mornings,XGBoost,2823.7676767676767,681.6338500976562
Mornings,XGBoost,3119.020202020202,681.6338500976562
Mornings,XGBoost,3414.272727272727,681.6338500976562
Mornings,XGBoost,3709.525252525252,681.6338500976562
Mornings,XGBoost,4004.7777777777774,681.6338500976562
Mornings,XGBoost,4300.030303030303,681.6338500976562
Mornings,XGBoost,4595.282828282829,681.6338500976562
Mornings,XGBoost,4890.535353535353,683.1378173828125
Mornings,XGBoost,5185.787878787878,683.1378173828125
Mornings,XGBoost,5481.040404040404,683.3250122070312
Mornings,XGBoost,5776.292929292929,683.3250122070312
Mornings,XGBoost,6071.545454545454,692.615478515625
Mornings,XGBoost,6366.79797979798,689.6240844726562
Mornings,XGBoost,6662.050505050504,691.5018920898438
Mornings,XGBoost,6957.30303030303,689.8319702148438
Mornings,XGBoost,7252.555555555555,689.8319702148438
Mornings,XGBoost,7547.80808080808,688.7286987304688
Mornings,XGBoost,7843.060606060606,689.314208984375
Mornings,XGBoost,8138.313131313131,692.6728515625
Mornings,XGBoost,8433.565656565657,693.051025390625
Mornings,XGBoost,8728.81818181818,691.880126953125
Mornings,XGBoost,9024.070707070707,684.5560913085938
Mornings,XGBoost,9319.323232323231,684.8082885742188
Mornings,XGBoost,9614.575757575756,722.029541015625
Mornings,XGBoost,9909.828282828283,722.9832763671875
Mornings,XGBoost,10205.080808080807,729.6952514648438
Mornings,XGBoost,10500.333333333332,733.9680786132812
Mornings,XGBoost,10795.585858585859,735.0562133789062
Mornings,XGBoost,11090.838383838383,740.3432006835938
Mornings,XGBoost,11386.090909090908,741.1783447265625
Mornings,XGBoost,11681.343434343433,743.9666137695312
Mornings,XGBoost,11976.59595959596,737.02490234375
Mornings,XGBoost,12271.848484848484,736.566650390625
Mornings,XGBoost,12567.101010101009,742.474853515625
Mornings,XGBoost,12862.353535353535,745.1565551757812
Mornings,XGBoost,13157.60606060606,747.3939819335938
Mornings,XGBoost,13452.858585858585,758.0249633789062
Mornings,XGBoost,13748.11111111111,746.1676635742188
Mornings,XGBoost,14043.363636363636,741.0130004882812
Mornings,XGBoost,14338.61616161616,740.9489135742188
Mornings,XGBoost,14633.868686868685,742.2266845703125
Mornings,XGBoost,14929.121212121212,743.9218139648438
Mornings,XGBoost,15224.373737373737,741.8255615234375
Mornings,XGBoost,15519.626262626261,743.1654052734375
