Dataset,Model,5 Total transit stop count,Predicted Value
Mornings,XGBoost,12.545454545454545,674.1585083007812
Mornings,XGBoost,12.777777777777777,674.1585083007812
Mornings,XGBoost,13.01010101010101,674.5584716796875
Mornings,XGBoost,13.242424242424242,674.5584716796875
Mornings,XGBoost,13.474747474747474,674.5584716796875
Mornings,XGBoost,13.707070707070708,674.5584716796875
Mornings,XGBoost,13.93939393939394,674.5584716796875
Mornings,XGBoost,14.171717171717171,674.5584716796875
Mornings,XGBoost,14.404040404040403,674.5584716796875
Mornings,XGBoost,14.636363636363637,674.5584716796875
Mornings,XGBoost,14.868686868686869,674.5584716796875
Mornings,XGBoost,15.1010101010101,675.6607055664062
Mornings,XGBoost,15.333333333333334,675.6607055664062
Mornings,XGBoost,15.565656565656566,675.6607055664062
Mornings,XGBoost,15.797979797979798,675.6607055664062
Mornings,XGBoost,16.03030303030303,872.5803833007812
Mornings,XGBoost,16.262626262626263,872.5803833007812
Mornings,XGBoost,16.494949494949495,872.5803833007812
Mornings,XGBoost,16.727272727272727,872.5803833007812
Mornings,XGBoost,16.95959595959596,872.5803833007812
Mornings,XGBoost,17.19191919191919,872.7451782226562
Mornings,XGBoost,17.424242424242426,872.7451782226562
Mornings,XGBoost,17.656565656565657,872.7451782226562
Mornings,XGBoost,17.88888888888889,872.7451782226562
Mornings,XGBoost,18.12121212121212,872.7451782226562
Mornings,XGBoost,18.353535353535353,872.7451782226562
Mornings,XGBoost,18.585858585858585,872.7451782226562
Mornings,XGBoost,18.818181818181817,872.7451782226562
Mornings,XGBoost,19.050505050505052,872.7451782226562
Mornings,XGBoost,19.282828282828284,872.7451782226562
Mornings,XGBoost,19.515151515151516,872.7451782226562
Mornings,XGBoost,19.747474747474747,872.7451782226562
Mornings,XGBoost,19.97979797979798,872.7451782226562
Mornings,XGBoost,20.21212121212121,872.7451782226562
Mornings,XGBoost,20.444444444444443,872.7451782226562
Mornings,XGBoost,20.67676767676768,872.7451782226562
Mornings,XGBoost,20.90909090909091,872.7451782226562
Mornings,XGBoost,21.141414141414142,872.7451782226562
Mornings,XGBoost,21.373737373737374,872.7451782226562
Mornings,XGBoost,21.606060606060606,872.7451782226562
Mornings,XGBoost,21.838383838383837,872.7451782226562
Mornings,XGBoost,22.07070707070707,872.7451782226562
Mornings,XGBoost,22.303030303030305,872.7451782226562
Mornings,XGBoost,22.535353535353536,872.7451782226562
Mornings,XGBoost,22.767676767676768,872.7451782226562
Mornings,XGBoost,23.0,872.7451782226562
Lunches,LightGBM,0.0,1083.2156739865502
Lunches,LightGBM,0.23232323232323232,1083.2156739865502
Lunches,LightGBM,0.46464646464646464,1083.2156739865502
Lunches,LightGBM,0.696969696969697,1083.2156739865502
Lunches,LightGBM,0.9292929292929293,1083.2156739865502
Lunches,LightGBM,1.1616161616161615,1083.2156739865502
Lunches,LightGBM,1.393939393939394,1083.2156739865502
Lunches,LightGBM,1.6262626262626263,1083.2156739865502
Lunches,LightGBM,1.8585858585858586,1083.2156739865502
Lunches,LightGBM,2.090909090909091,1083.2156739865502
Lunches,LightGBM,2.323232323232323,1083.2156739865502
Lunches,LightGBM,2.5555555555555554,1083.2156739865502
Lunches,LightGBM,2.787878787878788,1083.2156739865502
Lunches,LightGBM,3.0202020202020203,1083.2156739865502
Lunches,LightGBM,3.2525252525252526,1083.2156739865502
Lunches,LightGBM,3.484848484848485,1083.2156739865502
Lunches,LightGBM,3.717171717171717,1082.1643897176768
Lunches,LightGBM,3.9494949494949494,1082.1643897176768
Lunches,LightGBM,4.181818181818182,1082.1643897176768
Lunches,LightGBM,4.414141414141414,1082.1643897176768
Lunches,LightGBM,4.646464646464646,1082.305293122414
Lunches,LightGBM,4.878787878787879,1082.305293122414
Lunches,LightGBM,5.111111111111111,1082.305293122414
Lunches,LightGBM,5.343434343434343,1082.305293122414
Lunches,LightGBM,5.575757575757576,1082.2283543388614
Lunches,LightGBM,5.808080808080808,1082.2283543388614
Lunches,LightGBM,6.040404040404041,1082.2283543388614
Lunches,LightGBM,6.2727272727272725,1082.2283543388614
Lunches,LightGBM,6.505050505050505,1082.027076144542
Lunches,LightGBM,6.737373737373737,1082.027076144542
Lunches,LightGBM,6.96969696969697,1082.027076144542
Lunches,LightGBM,7.2020202020202015,1082.027076144542
Lunches,LightGBM,7.434343434343434,1082.027076144542
Lunches,LightGBM,7.666666666666667,1081.9787453063936
Lunches,LightGBM,7.898989898989899,1081.9787453063936
Lunches,LightGBM,8.131313131313131,1081.9787453063936
Lunches,LightGBM,8.363636363636363,1081.9787453063936
Lunches,LightGBM,8.595959595959595,1083.6993472280483
Lunches,LightGBM,8.828282828282829,1083.6993472280483
Lunches,LightGBM,9.06060606060606,1083.6993472280483
Lunches,LightGBM,9.292929292929292,1083.6993472280483
Lunches,LightGBM,9.525252525252526,1083.7083613227003
Lunches,LightGBM,9.757575757575758,1083.7083613227003
Lunches,LightGBM,9.98989898989899,1083.7083613227003
Lunches,LightGBM,10.222222222222221,1083.7083613227003
Lunches,LightGBM,10.454545454545455,1083.7083613227003
Lunches,LightGBM,10.686868686868687,1098.6081172920572
Lunches,LightGBM,10.919191919191919,1098.6081172920572
Lunches,LightGBM,11.151515151515152,1098.6081172920572
Lunches,LightGBM,11.383838383838384,1098.6081172920572
Lunches,LightGBM,11.616161616161616,1115.344858204283
Lunches,LightGBM,11.848484848484848,1115.344858204283
Lunches,LightGBM,12.080808080808081,1115.344858204283
Lunches,LightGBM,12.313131313131313,1115.344858204283
Lunches,LightGBM,12.545454545454545,1115.4785625005288
Lunches,LightGBM,12.777777777777777,1115.4785625005288
Lunches,LightGBM,13.01010101010101,1115.4785625005288
Lunches,LightGBM,13.242424242424242,1115.4785625005288
Lunches,LightGBM,13.474747474747474,1115.4785625005288
Lunches,LightGBM,13.707070707070708,1145.3679244317766
Lunches,LightGBM,13.93939393939394,1145.3679244317766
Lunches,LightGBM,14.171717171717171,1145.3679244317766
Lunches,LightGBM,14.404040404040403,1145.3679244317766
Lunches,LightGBM,14.636363636363637,1146.0901461474396
Lunches,LightGBM,14.868686868686869,1146.0901461474396
Lunches,LightGBM,15.1010101010101,1146.0901461474396
Lunches,LightGBM,15.333333333333334,1146.0901461474396
Lunches,LightGBM,15.565656565656566,1145.1062000173995
Lunches,LightGBM,15.797979797979798,1145.1062000173995
Lunches,LightGBM,16.03030303030303,1145.1062000173995
Lunches,LightGBM,16.262626262626263,1145.1062000173995
Lunches,LightGBM,16.494949494949495,1145.1062000173995
Lunches,LightGBM,16.727272727272727,1145.5778715215545
Lunches,LightGBM,16.95959595959596,1145.5778715215545
Lunches,LightGBM,17.19191919191919,1145.5778715215545
Lunches,LightGBM,17.424242424242426,1145.5778715215545
Lunches,LightGBM,17.656565656565657,1145.5778715215545
Lunches,LightGBM,17.88888888888889,1145.5778715215545
Lunches,LightGBM,18.12121212121212,1145.5778715215545
Lunches,LightGBM,18.353535353535353,1145.5778715215545
Lunches,LightGBM,18.585858585858585,1140.5151724202724
Lunches,LightGBM,18.818181818181817,1140.5151724202724
Lunches,LightGBM,19.050505050505052,1140.5151724202724
Lunches,LightGBM,19.282828282828284,1140.5151724202724
Lunches,LightGBM,19.515151515151516,1140.5151724202724
Lunches,LightGBM,19.747474747474747,1140.5151724202724
Lunches,LightGBM,19.97979797979798,1140.5151724202724
Lunches,LightGBM,20.21212121212121,1140.5151724202724
Lunches,LightGBM,20.444444444444443,1140.5151724202724
Lunches,LightGBM,20.67676767676768,1140.5151724202724
Lunches,LightGBM,20.90909090909091,1140.5151724202724
