Dataset,Model,Wind speed,Predicted Value
Afternoons,LightGBM,5.800454545454546,1191.4296111515587
Afternoons,LightGBM,5.918484848484849,1189.731410728707
Afternoons,LightGBM,6.036515151515152,1189.6943968860326
Afternoons,LightGBM,6.154545454545455,1189.4541765685722
Afternoons,LightGBM,6.272575757575758,1189.5016484858834
Afternoons,LightGBM,6.390606060606061,1189.0297026819037
Afternoons,LightGBM,6.508636363636364,1189.6515458158642
Afternoons,LightGBM,6.626666666666667,1190.3987769596288
Afternoons,LightGBM,6.74469696969697,1195.9853826509832
Afternoons,LightGBM,6.862727272727273,1192.5244220750844
Afternoons,LightGBM,6.980757575757576,1191.7522270023542
Afternoons,LightGBM,7.0987878787878795,1177.025631736413
Afternoons,LightGBM,7.216818181818182,1176.8694174320524
Afternoons,LightGBM,7.334848484848485,1176.9693024159358
Afternoons,LightGBM,7.452878787878788,1175.9871988913246
Afternoons,LightGBM,7.570909090909091,1169.5768917155515
Afternoons,LightGBM,7.688939393939394,1168.8203502041356
Afternoons,LightGBM,7.806969696969698,1168.8203502041356
Afternoons,LightGBM,7.925000000000001,1171.4312301674236
Afternoons,LightGBM,8.043030303030305,1172.0085629211897
Afternoons,LightGBM,8.161060606060607,1172.3631665617345
Afternoons,LightGBM,8.27909090909091,1187.0665835495654
Afternoons,LightGBM,8.397121212121213,1158.0342144280655
Afternoons,LightGBM,8.515151515151516,1175.7947193758514
Afternoons,LightGBM,8.63318181818182,1184.688106560659
Afternoons,LightGBM,8.751212121212122,1183.8723897006344
Afternoons,LightGBM,8.869242424242424,1183.8723897006344
Afternoons,LightGBM,8.987272727272728,1183.8723897006344
Afternoons,LightGBM,9.10530303030303,1183.8723897006344
Afternoons,LightGBM,9.223333333333334,1158.1655383494203
Afternoons,LightGBM,9.341363636363637,1199.8631447673733
Afternoons,LightGBM,9.45939393939394,1199.8631447673733
Afternoons,LightGBM,9.577424242424243,1199.8631447673733
Afternoons,LightGBM,9.695454545454545,1196.5002532465994
Afternoons,LightGBM,9.81348484848485,1196.5002532465994
Afternoons,LightGBM,9.931515151515152,1195.8272847659998
Afternoons,LightGBM,10.049545454545456,1164.893788458155
Afternoons,LightGBM,10.167575757575758,1164.893788458155
Afternoons,LightGBM,10.285606060606062,1164.893788458155
