Dataset,Model,5 Edge length avg,Predicted Value
Afternoons,CatBoost,28.582365887981997,1194.2059819799501
Afternoons,CatBoost,28.835603120993223,1194.2059819799501
Afternoons,CatBoost,29.08884035400445,1194.2059819799501
Afternoons,CatBoost,29.342077587015677,1194.2059819799501
Afternoons,CatBoost,29.595314820026903,1194.2059819799501
Afternoons,CatBoost,29.84855205303813,1194.2059819799501
Afternoons,CatBoost,30.101789286049357,1193.7516482670196
Afternoons,CatBoost,30.355026519060583,1193.7516482670196
Afternoons,CatBoost,30.608263752071807,1193.7516482670196
Afternoons,CatBoost,30.861500985083033,1194.1385835377673
Afternoons,CatBoost,31.11473821809426,1194.1385835377673
Afternoons,CatBoost,31.367975451105487,1194.1385835377673
Afternoons,CatBoost,31.621212684116713,1196.2463298819275
Afternoons,CatBoost,31.87444991712794,1196.2463298819275
Afternoons,CatBoost,32.12768715013917,1192.112239765923
Afternoons,CatBoost,32.38092438315039,1192.112239765923
Afternoons,CatBoost,32.63416161616162,1192.112239765923
Afternoons,CatBoost,32.88739884917285,1192.112239765923
Afternoons,CatBoost,33.14063608218407,1192.112239765923
Afternoons,CatBoost,33.3938733151953,1192.112239765923
Afternoons,CatBoost,33.64711054820653,1192.112239765923
Afternoons,CatBoost,33.900347781217754,1192.112239765923
Afternoons,CatBoost,34.15358501422898,1192.112239765923
Afternoons,CatBoost,34.40682224724021,1192.112239765923
Afternoons,CatBoost,34.660059480251434,1192.112239765923
Afternoons,CatBoost,34.91329671326266,1192.112239765923
Afternoons,CatBoost,35.16653394627389,1192.112239765923
Afternoons,CatBoost,35.419771179285114,1192.112239765923
Afternoons,CatBoost,35.67300841229634,1192.112239765923
Afternoons,CatBoost,35.92624564530756,1192.112239765923
Afternoons,CatBoost,36.179482878318794,1192.112239765923
Afternoons,CatBoost,36.43272011133001,1192.112239765923
Afternoons,CatBoost,36.68595734434125,1192.112239765923
Afternoons,CatBoost,36.93919457735247,1192.112239765923
Afternoons,CatBoost,37.1924318103637,1192.112239765923
Afternoons,CatBoost,37.44566904337492,1192.112239765923
Afternoons,CatBoost,37.698906276386154,1192.112239765923
Afternoons,CatBoost,37.952143509397374,1192.112239765923
Afternoons,CatBoost,38.20538074240861,1192.112239765923
Afternoons,CatBoost,38.45861797541983,1192.112239765923
Afternoons,CatBoost,38.71185520843106,1192.112239765923
Afternoons,CatBoost,38.96509244144228,1192.112239765923
Afternoons,CatBoost,39.218329674453514,1192.112239765923
Afternoons,CatBoost,39.471566907464734,1192.112239765923
Afternoons,CatBoost,39.72480414047596,1192.112239765923
Afternoons,CatBoost,39.97804137348719,1192.112239765923
Afternoons,CatBoost,40.231278606498414,1192.112239765923
Afternoons,CatBoost,40.48451583950964,1192.112239765923
Afternoons,CatBoost,40.73775307252087,1192.112239765923
Afternoons,CatBoost,40.990990305532094,1192.112239765923
Afternoons,CatBoost,41.24422753854332,1192.112239765923
Afternoons,CatBoost,41.49746477155455,1192.112239765923
Afternoons,CatBoost,41.750702004565774,1192.112239765923
Afternoons,CatBoost,42.003939237577,1192.112239765923
Afternoons,CatBoost,42.25717647058823,1192.112239765923
Lunches Special,LightGBM,17.186690402476806,934.9009394990904
Lunches Special,LightGBM,17.439927635488033,934.9009394990904
