Dataset,Model,5 Building use diversity,Predicted Value
All,LightGBM,0.08344814968665147,517.5832888162842
All,LightGBM,0.08543501039347651,517.5832888162842
All,LightGBM,0.08742187110030154,517.5136688205604
All,LightGBM,0.08940873180712658,517.4987100671987
All,LightGBM,0.09139559251395162,517.4257984355419
All,LightGBM,0.09338245322077665,517.4257984355419
All,LightGBM,0.09536931392760169,517.4257984355419
All,LightGBM,0.09735617463442672,517.4257984355419
All,LightGBM,0.09934303534125176,517.4257984355419
All,LightGBM,0.1013298960480768,517.4257984355419
All,LightGBM,0.10331675675490183,517.4257984355419
All,LightGBM,0.10530361746172687,517.4257984355419
All,LightGBM,0.1072904781685519,517.4257984355419
All,LightGBM,0.10927733887537694,517.4257984355419
All,LightGBM,0.11126419958220196,517.4257984355419
All,LightGBM,0.113251060289027,517.4257984355419
All,LightGBM,0.11523792099585203,517.2417241287819
All,LightGBM,0.11722478170267707,517.2417241287819
All,LightGBM,0.1192116424095021,517.2417241287819
All,LightGBM,0.12119850311632714,517.2417241287819
All,LightGBM,0.12318536382315218,517.2417241287819
All,LightGBM,0.12517222452997723,517.2417241287819
All,LightGBM,0.12715908523680225,517.2417241287819
All,LightGBM,0.12914594594362727,517.2417241287819
All,LightGBM,0.13113280665045232,517.2417241287819
All,LightGBM,0.13311966735727734,517.2417241287819
All,LightGBM,0.1351065280641024,517.2417241287819
All,LightGBM,0.13709338877092742,517.4792187159326
All,LightGBM,0.13908024947775247,517.4792187159326
All,LightGBM,0.1410671101845775,517.4792187159326
All,LightGBM,0.14305397089140254,517.4792187159326
All,LightGBM,0.14504083159822756,517.4792187159326
All,LightGBM,0.1470276923050526,517.4792187159326
All,LightGBM,0.14901455301187763,517.4792187159326
All,LightGBM,0.15100141371870268,517.4792187159326
All,LightGBM,0.1529882744255277,517.4792187159326
All,LightGBM,0.15497513513235275,517.4792187159326
All,LightGBM,0.15696199583917778,518.9176678543248
All,LightGBM,0.15894885654600283,518.9176678543248
All,LightGBM,0.16093571725282785,523.7211453182744
All,LightGBM,0.16292257795965287,523.7583097666022
All,LightGBM,0.16490943866647792,536.7016473023365
All,LightGBM,0.16689629937330294,538.9989552208316
All,LightGBM,0.168883160080128,538.9989552208316
All,LightGBM,0.17087002078695301,538.9989552208316
All,LightGBM,0.17285688149377806,538.9989552208316
All,LightGBM,0.1748437422006031,538.9989552208316
All,LightGBM,0.17683060290742814,538.9989552208316
All,LightGBM,0.17881746361425316,538.9989552208316
All,LightGBM,0.1808043243210782,538.9989552208316
All,LightGBM,0.18279118502790323,538.9989552208316
All,LightGBM,0.18477804573472828,538.9989552208316
All,LightGBM,0.1867649064415533,538.9989552208316
All,LightGBM,0.18875176714837835,538.1515378815405
All,LightGBM,0.19073862785520337,538.3324188578838
All,LightGBM,0.1927254885620284,538.3324188578838
All,LightGBM,0.19471234926885345,538.3324188578838
All,LightGBM,0.1966992099756785,538.3324188578838
All,XGBoost,0.0,630.4661865234375
All,XGBoost,0.001986860706825035,609.4216918945312
All,XGBoost,0.00397372141365007,578.7499389648438
All,XGBoost,0.0059605821204751054,581.899169921875
All,XGBoost,0.00794744282730014,586.8768310546875
All,XGBoost,0.009934303534125177,587.0486450195312
All,XGBoost,0.011921164240950211,590.222412109375
All,XGBoost,0.013908024947775245,593.270263671875
All,XGBoost,0.01589488565460028,586.8786010742188
All,XGBoost,0.017881746361425317,575.2508544921875
All,XGBoost,0.019868607068250353,555.984619140625
All,XGBoost,0.021855467775075386,555.8477172851562
All,XGBoost,0.023842328481900422,556.0477905273438
All,XGBoost,0.025829189188725458,546.2964477539062
All,XGBoost,0.02781604989555049,546.2964477539062
All,XGBoost,0.029802910602375526,558.6637573242188
All,XGBoost,0.03178977130920056,558.6637573242188
All,XGBoost,0.0337766320160256,558.6637573242188
All,XGBoost,0.035763492722850634,558.6637573242188
All,XGBoost,0.03775035342967567,558.6637573242188
All,XGBoost,0.039737214136500706,558.6637573242188
All,XGBoost,0.041724074843325736,558.6637573242188
All,XGBoost,0.04371093555015077,558.6637573242188
All,XGBoost,0.04569779625697581,558.6637573242188
All,XGBoost,0.047684656963800844,558.6637573242188
All,XGBoost,0.04967151767062588,558.6637573242188
All,XGBoost,0.051658378377450916,558.6637573242188
All,XGBoost,0.05364523908427595,558.6637573242188
All,XGBoost,0.05563209979110098,558.6637573242188
All,XGBoost,0.05761896049792602,558.651611328125
All,XGBoost,0.05960582120475105,558.651611328125
All,XGBoost,0.06159268191157609,558.651611328125
All,XGBoost,0.06357954261840112,558.651611328125
All,XGBoost,0.06556640332522616,558.651611328125
All,XGBoost,0.0675532640320512,558.651611328125
All,XGBoost,0.06954012473887623,558.651611328125
All,XGBoost,0.07152698544570127,558.651611328125
All,XGBoost,0.0735138461525263,558.651611328125
All,XGBoost,0.07550070685935134,558.651611328125
All,XGBoost,0.07748756756617638,558.651611328125
All,XGBoost,0.07947442827300141,558.651611328125
All,XGBoost,0.08146128897982644,558.651611328125
All,XGBoost,0.08344814968665147,558.651611328125
