Dataset,Model,Hour,Predicted Value
All,LightGBM,21.606060606060606,394.3119022074807
All,LightGBM,21.838383838383837,394.3119022074807
All,LightGBM,22.07070707070707,394.3119022074807
All,LightGBM,22.303030303030305,394.3119022074807
All,LightGBM,22.535353535353536,260.16095909588864
All,LightGBM,22.767676767676768,260.16095909588864
All,LightGBM,23.0,260.16095909588864
All,XGBoost,0.0,141.30482482910156
All,XGBoost,0.23232323232323232,141.30482482910156
All,XGBoost,0.46464646464646464,141.30482482910156
All,XGBoost,0.696969696969697,141.30482482910156
All,XGBoost,0.9292929292929293,141.30482482910156
All,XGBoost,1.1616161616161615,84.89715576171875
All,XGBoost,1.393939393939394,84.89715576171875
All,XGBoost,1.6262626262626263,84.89715576171875
All,XGBoost,1.8585858585858586,84.89715576171875
All,XGBoost,2.090909090909091,54.435752868652344
All,XGBoost,2.323232323232323,54.435752868652344
All,XGBoost,2.5555555555555554,54.435752868652344
All,XGBoost,2.787878787878788,54.435752868652344
All,XGBoost,3.0202020202020203,45.647987365722656
All,XGBoost,3.2525252525252526,45.647987365722656
All,XGBoost,3.484848484848485,45.647987365722656
All,XGBoost,3.717171717171717,45.647987365722656
All,XGBoost,3.9494949494949494,45.647987365722656
All,XGBoost,4.181818181818182,34.2566032409668
All,XGBoost,4.414141414141414,34.2566032409668
All,XGBoost,4.646464646464646,34.2566032409668
All,XGBoost,4.878787878787879,34.2566032409668
All,XGBoost,5.111111111111111,52.16103744506836
All,XGBoost,5.343434343434343,52.16103744506836
All,XGBoost,5.575757575757576,52.16103744506836
All,XGBoost,5.808080808080808,52.16103744506836
All,XGBoost,6.040404040404041,144.29800415039062
All,XGBoost,6.2727272727272725,144.29800415039062
All,XGBoost,6.505050505050505,144.29800415039062
All,XGBoost,6.737373737373737,144.29800415039062
All,XGBoost,6.96969696969697,144.29800415039062
All,XGBoost,7.2020202020202015,373.86029052734375
All,XGBoost,7.434343434343434,373.86029052734375
All,XGBoost,7.666666666666667,373.86029052734375
All,XGBoost,7.898989898989899,373.86029052734375
All,XGBoost,8.131313131313131,768.8760986328125
All,XGBoost,8.363636363636363,768.8760986328125
All,XGBoost,8.595959595959595,768.8760986328125
All,XGBoost,8.828282828282829,768.8760986328125
All,XGBoost,9.06060606060606,607.8275756835938
All,XGBoost,9.292929292929292,607.8275756835938
All,XGBoost,9.525252525252526,607.8275756835938
All,XGBoost,9.757575757575758,607.8275756835938
All,XGBoost,9.98989898989899,607.8275756835938
All,XGBoost,10.222222222222221,624.3892822265625
All,XGBoost,10.454545454545455,624.3892822265625
All,XGBoost,10.686868686868687,624.3892822265625
All,XGBoost,10.919191919191919,624.3892822265625
All,XGBoost,11.151515151515152,778.2918701171875
All,XGBoost,11.383838383838384,778.2918701171875
All,XGBoost,11.616161616161616,778.2918701171875
All,XGBoost,11.848484848484848,778.2918701171875
All,XGBoost,12.080808080808081,1180.8956298828125
All,XGBoost,12.313131313131313,1180.8956298828125
All,XGBoost,12.545454545454545,1180.8956298828125
All,XGBoost,12.777777777777777,1180.8956298828125
All,XGBoost,13.01010101010101,1234.9002685546875
All,XGBoost,13.242424242424242,1234.9002685546875
All,XGBoost,13.474747474747474,1234.9002685546875
All,XGBoost,13.707070707070708,1234.9002685546875
All,XGBoost,13.93939393939394,1234.9002685546875
All,XGBoost,14.171717171717171,1039.615966796875
All,XGBoost,14.404040404040403,1039.615966796875
All,XGBoost,14.636363636363637,1039.615966796875
All,XGBoost,14.868686868686869,1039.615966796875
All,XGBoost,15.1010101010101,1040.77587890625
All,XGBoost,15.333333333333334,1040.77587890625
All,XGBoost,15.565656565656566,1040.77587890625
All,XGBoost,15.797979797979798,1040.77587890625
All,XGBoost,16.03030303030303,1131.06201171875
All,XGBoost,16.262626262626263,1131.06201171875
All,XGBoost,16.494949494949495,1131.06201171875
All,XGBoost,16.727272727272727,1131.06201171875
