Dataset,Model,Building count,Predicted Value
Lunches,CatBoost,76.81818181818181,1096.0797663162243
Lunches,CatBoost,77.6969696969697,1096.0797663162243
Lunches,CatBoost,78.57575757575758,1096.0797663162243
Lunches,CatBoost,79.45454545454545,1096.0797663162243
Lunches,CatBoost,80.33333333333333,1096.0797663162243
Lunches,CatBoost,81.21212121212122,1096.0797663162243
Lunches,CatBoost,82.0909090909091,1096.0797663162243
Lunches,CatBoost,82.96969696969697,1096.0797663162243
Lunches,CatBoost,83.84848484848484,1096.0797663162243
Lunches,CatBoost,84.72727272727273,1094.5739632141047
Lunches,CatBoost,85.60606060606061,1094.5739632141047
Lunches,CatBoost,86.48484848484848,1094.5739632141047
Lunches,CatBoost,87.36363636363636,1094.5739632141047
Lunches,CatBoost,88.24242424242424,1094.5739632141047
Lunches,CatBoost,89.12121212121212,1094.5739632141047
Lunches,CatBoost,90.0,1094.5739632141047
Afternoons,CatBoost,3.0,1249.206283591967
Afternoons,CatBoost,3.878787878787879,1241.849274450851
Afternoons,CatBoost,4.757575757575758,1213.4095496495302
Afternoons,CatBoost,5.636363636363637,1213.4095496495302
Afternoons,CatBoost,6.515151515151516,1210.2423566470356
Afternoons,CatBoost,7.393939393939394,1210.2423566470356
Afternoons,CatBoost,8.272727272727273,1210.2423566470356
Afternoons,CatBoost,9.151515151515152,1206.654998379556
Afternoons,CatBoost,10.030303030303031,1206.654998379556
Afternoons,CatBoost,10.90909090909091,1206.654998379556
Afternoons,CatBoost,11.787878787878787,1206.654998379556
Afternoons,CatBoost,12.666666666666666,1205.938812193031
Afternoons,CatBoost,13.545454545454545,1205.938812193031
Afternoons,CatBoost,14.424242424242424,1205.938812193031
Afternoons,CatBoost,15.303030303030303,1205.938812193031
Afternoons,CatBoost,16.18181818181818,1205.938812193031
Afternoons,CatBoost,17.060606060606062,1205.938812193031
Afternoons,CatBoost,17.939393939393938,1205.938812193031
Afternoons,CatBoost,18.81818181818182,1205.8471031443858
Afternoons,CatBoost,19.696969696969695,1205.8471031443858
Afternoons,CatBoost,20.575757575757574,1205.8471031443858
Afternoons,CatBoost,21.454545454545453,1208.8310632047662
Afternoons,CatBoost,22.333333333333332,1208.8310632047662
Afternoons,CatBoost,23.21212121212121,1208.8310632047662
Afternoons,CatBoost,24.09090909090909,1208.8310632047662
Afternoons,CatBoost,24.96969696969697,1208.8310632047662
Afternoons,CatBoost,25.848484848484848,1208.8310632047662
Afternoons,CatBoost,26.727272727272727,1208.8310632047662
Afternoons,CatBoost,27.606060606060606,1206.4941767819462
Afternoons,CatBoost,28.484848484848484,1206.4941767819462
Afternoons,CatBoost,29.363636363636363,1203.2297538818182
Afternoons,CatBoost,30.242424242424242,1203.2297538818182
Afternoons,CatBoost,31.12121212121212,1203.2297538818182
Afternoons,CatBoost,32.0,1203.2297538818182
Afternoons,CatBoost,32.878787878787875,1203.2297538818182
Afternoons,CatBoost,33.75757575757576,1190.015237050198
Afternoons,CatBoost,34.63636363636364,1190.015237050198
Afternoons,CatBoost,35.515151515151516,1190.015237050198
Afternoons,CatBoost,36.39393939393939,1190.015237050198
Afternoons,CatBoost,37.27272727272727,1190.8715364714349
Afternoons,CatBoost,38.15151515151515,1190.8715364714349
Afternoons,CatBoost,39.03030303030303,1190.8715364714349
Afternoons,CatBoost,39.90909090909091,1190.8715364714349
Afternoons,CatBoost,40.78787878787879,1194.2366365267465
Afternoons,CatBoost,41.666666666666664,1194.2366365267465
Afternoons,CatBoost,42.54545454545455,1188.3672599568456
Afternoons,CatBoost,43.42424242424242,1188.3672599568456
Afternoons,CatBoost,44.303030303030305,1188.3672599568456
Afternoons,CatBoost,45.18181818181818,1188.3672599568456
Afternoons,CatBoost,46.06060606060606,1188.3672599568456
Afternoons,CatBoost,46.93939393939394,1188.3672599568456
Afternoons,CatBoost,47.81818181818182,1188.3672599568456
Afternoons,CatBoost,48.696969696969695,1188.3672599568456
Afternoons,CatBoost,49.57575757575758,1188.3672599568456
Afternoons,CatBoost,50.45454545454545,1188.3672599568456
Afternoons,CatBoost,51.333333333333336,1188.3672599568456
Afternoons,CatBoost,52.21212121212121,1188.3672599568456
Afternoons,CatBoost,53.09090909090909,1188.3672599568456
Afternoons,CatBoost,53.96969696969697,1188.3672599568456
Afternoons,CatBoost,54.84848484848485,1188.3672599568456
Afternoons,CatBoost,55.72727272727273,1188.3672599568456
Afternoons,CatBoost,56.60606060606061,1188.3672599568456
Afternoons,CatBoost,57.484848484848484,1188.3672599568456
Afternoons,CatBoost,58.36363636363637,1188.3672599568456
Afternoons,CatBoost,59.24242424242424,1188.3672599568456
Afternoons,CatBoost,60.12121212121212,1188.3672599568456
Afternoons,CatBoost,61.0,1188.3672599568456
Afternoons,CatBoost,61.878787878787875,1188.3672599568456
Afternoons,CatBoost,62.75757575757576,1188.3672599568456
Afternoons,CatBoost,63.63636363636363,1188.3672599568456
Afternoons,CatBoost,64.51515151515152,1188.3672599568456
Afternoons,CatBoost,65.39393939393939,1188.3672599568456
Afternoons,CatBoost,66.27272727272728,1188.3672599568456
Afternoons,CatBoost,67.15151515151516,1188.3672599568456
Afternoons,CatBoost,68.03030303030303,1188.3672599568456
Afternoons,CatBoost,68.9090909090909,1188.3672599568456
Afternoons,CatBoost,69.78787878787878,1188.3672599568456
Afternoons,CatBoost,70.66666666666667,1188.3672599568456
Afternoons,CatBoost,71.54545454545455,1188.3672599568456
Afternoons,CatBoost,72.42424242424242,1188.3672599568456
Afternoons,CatBoost,73.3030303030303,1188.3672599568456
Afternoons,CatBoost,74.18181818181819,1188.3672599568456
Afternoons,CatBoost,75.06060606060606,1188.3672599568456
Afternoons,CatBoost,75.93939393939394,1188.3672599568456
Afternoons,CatBoost,76.81818181818181,1188.3672599568456
Afternoons,CatBoost,77.6969696969697,1188.3672599568456
Afternoons,CatBoost,78.57575757575758,1188.3672599568456
Afternoons,CatBoost,79.45454545454545,1188.3672599568456
Afternoons,CatBoost,80.33333333333333,1188.3672599568456
Afternoons,CatBoost,81.21212121212122,1188.3672599568456
Afternoons,CatBoost,82.0909090909091,1188.3672599568456
Afternoons,CatBoost,82.96969696969697,1188.3672599568456
Afternoons,CatBoost,83.84848484848484,1188.3672599568456
Afternoons,CatBoost,84.72727272727273,1185.3072234048782
Afternoons,CatBoost,85.60606060606061,1185.3072234048782
Afternoons,CatBoost,86.48484848484848,1185.3072234048782
Afternoons,CatBoost,87.36363636363636,1185.3072234048782
Afternoons,CatBoost,88.24242424242424,1185.3072234048782
Afternoons,CatBoost,89.12121212121212,1185.3072234048782
Afternoons,CatBoost,90.0,1185.3072234048782
Mornings Special,LightGBM,3.0,623.914547979821
Mornings Special,LightGBM,3.878787878787879,624.7185363018556
Mornings Special,LightGBM,4.757575757575758,300.156020434842
Mornings Special,LightGBM,5.636363636363637,295.1039226613952
Mornings Special,LightGBM,6.515151515151516,294.236457190559
Mornings Special,LightGBM,7.393939393939394,294.236457190559
Mornings Special,LightGBM,8.272727272727273,294.6860766363235
Mornings Special,LightGBM,9.151515151515152,294.7798050159488
Mornings Special,LightGBM,10.030303030303031,294.7798050159488
Mornings Special,LightGBM,10.90909090909091,294.7798050159488
Mornings Special,LightGBM,11.787878787878787,294.7798050159488
Mornings Special,LightGBM,12.666666666666666,294.7798050159488
Mornings Special,LightGBM,13.545454545454545,294.7798050159488
Mornings Special,LightGBM,14.424242424242424,294.7798050159488
Mornings Special,LightGBM,15.303030303030303,294.7798050159488
Mornings Special,LightGBM,16.18181818181818,294.12413298578707
Mornings Special,LightGBM,17.060606060606062,294.25740839017095
Mornings Special,LightGBM,17.939393939393938,294.25740839017095
Mornings Special,LightGBM,18.81818181818182,292.76789617504403
Mornings Special,LightGBM,19.696969696969695,292.76789617504403
Mornings Special,LightGBM,20.575757575757574,292.76789617504403
Mornings Special,LightGBM,21.454545454545453,292.35413110738875
Mornings Special,LightGBM,22.333333333333332,292.35413110738875
Mornings Special,LightGBM,23.21212121212121,292.35413110738875
Mornings Special,LightGBM,24.09090909090909,292.35413110738875
Mornings Special,LightGBM,24.96969696969697,292.52751338040326
Mornings Special,LightGBM,25.848484848484848,292.52751338040326
Mornings Special,LightGBM,26.727272727272727,292.52751338040326
Mornings Special,LightGBM,27.606060606060606,291.47480443506487
Mornings Special,LightGBM,28.484848484848484,291.47480443506487
Mornings Special,LightGBM,29.363636363636363,291.4408872024668
Mornings Special,LightGBM,30.242424242424242,290.66414608821947
Mornings Special,LightGBM,31.12121212121212,284.344323674009
Mornings Special,LightGBM,32.0,284.344323674009
Mornings Special,LightGBM,32.878787878787875,284.344323674009
Mornings Special,LightGBM,33.75757575757576,281.51577470965583
Mornings Special,LightGBM,34.63636363636364,281.51577470965583
Mornings Special,LightGBM,35.515151515151516,281.51577470965583
Mornings Special,LightGBM,36.39393939393939,281.51577470965583
Mornings Special,LightGBM,37.27272727272727,281.57054883887173
Mornings Special,LightGBM,38.15151515151515,281.57054883887173
