Dataset,Model,15 Job count,Predicted Value
All,LightGBM,192005.2323232323,629.5622648772226
All,LightGBM,194635.28282828283,629.8481904774794
All,LightGBM,197265.3333333333,637.8044653419801
All,LightGBM,199895.38383838383,638.4740578662083
All,LightGBM,202525.43434343432,642.1535821941652
All,LightGBM,205155.48484848483,643.7906991729101
All,LightGBM,207785.53535353535,643.395576721271
All,LightGBM,210415.58585858584,639.1851330643328
All,LightGBM,213045.63636363635,619.6511734397645
All,LightGBM,215675.68686868684,705.7017559937341
All,LightGBM,218305.73737373736,705.7761045454306
All,LightGBM,220935.78787878787,711.5918744551415
All,LightGBM,223565.83838383836,709.5398020806907
All,LightGBM,226195.88888888888,697.7950533231981
All,LightGBM,228825.9393939394,703.473466308816
All,LightGBM,231455.98989898988,703.4329705053049
All,LightGBM,234086.0404040404,703.5314470254174
All,LightGBM,236716.09090909088,704.249907530912
All,LightGBM,239346.1414141414,704.1086401079469
All,LightGBM,241976.19191919192,705.4327691665304
All,LightGBM,244606.2424242424,714.9455635607598
All,LightGBM,247236.29292929292,715.9813373843307
All,LightGBM,249866.3434343434,745.0706571296785
All,LightGBM,252496.39393939392,730.1375079480491
All,LightGBM,255126.44444444444,718.1196201186542
All,LightGBM,257756.49494949493,712.014271095193
All,LightGBM,260386.54545454544,711.4933797221545
All,LightGBM,263016.5959595959,711.469876446392
All,LightGBM,265646.64646464644,711.4167088102635
All,LightGBM,268276.69696969696,711.4249328438184
All,LightGBM,270906.7474747475,711.4249328438184
All,LightGBM,273536.79797979794,711.4249328438184
All,LightGBM,276166.84848484845,711.4423218997324
All,LightGBM,278796.89898989897,711.4423218997324
All,LightGBM,281426.9494949495,711.4423218997324
All,LightGBM,284057.0,711.4423218997324
All,XGBoost,23682.0,517.0877075195312
All,XGBoost,26312.050505050505,517.0877075195312
All,XGBoost,28942.10101010101,516.7850341796875
All,XGBoost,31572.151515151512,517.4224853515625
All,XGBoost,34202.20202020202,517.4224853515625
All,XGBoost,36832.25252525252,517.4224853515625
All,XGBoost,39462.303030303025,516.4027099609375
All,XGBoost,42092.35353535353,515.9840087890625
All,XGBoost,44722.40404040404,515.9840087890625
All,XGBoost,47352.454545454544,515.9840087890625
All,XGBoost,49982.505050505046,515.9840087890625
All,XGBoost,52612.555555555555,515.9840087890625
All,XGBoost,55242.60606060606,515.9766235351562
All,XGBoost,57872.656565656565,515.9954833984375
All,XGBoost,60502.70707070707,515.9954833984375
All,XGBoost,63132.757575757576,515.9954833984375
All,XGBoost,65762.80808080808,515.9954833984375
All,XGBoost,68392.85858585857,515.9954833984375
All,XGBoost,71022.90909090909,515.996337890625
All,XGBoost,73652.95959595959,516.0071411132812
All,XGBoost,76283.01010101009,516.4837646484375
All,XGBoost,78913.06060606061,516.4837646484375
All,XGBoost,81543.11111111111,516.0707397460938
All,XGBoost,84173.16161616161,516.027099609375
All,XGBoost,86803.21212121211,516.027099609375
All,XGBoost,89433.26262626261,516.027099609375
All,XGBoost,92063.31313131313,516.027099609375
All,XGBoost,94693.36363636363,516.027099609375
All,XGBoost,97323.41414141413,516.027099609375
All,XGBoost,99953.46464646464,516.027099609375
All,XGBoost,102583.51515151515,516.5017700195312
All,XGBoost,105213.56565656565,516.5017700195312
All,XGBoost,107843.61616161616,515.840576171875
All,XGBoost,110473.66666666666,515.5985717773438
All,XGBoost,113103.71717171716,512.5679321289062
All,XGBoost,115733.76767676767,512.6177368164062
All,XGBoost,118363.81818181818,512.7645874023438
All,XGBoost,120993.86868686868,512.7197265625
All,XGBoost,123623.91919191918,512.7197265625
All,XGBoost,126253.9696969697,512.7197265625
All,XGBoost,128884.0202020202,535.6981201171875
All,XGBoost,131514.0707070707,535.6981201171875
All,XGBoost,134144.12121212122,535.6981201171875
All,XGBoost,136774.1717171717,535.6981201171875
All,XGBoost,139404.22222222222,591.103271484375
All,XGBoost,142034.2727272727,590.65869140625
All,XGBoost,144664.32323232322,590.5856323242188
All,XGBoost,147294.37373737374,594.325439453125
All,XGBoost,149924.42424242423,594.2280883789062
All,XGBoost,152554.47474747474,594.494873046875
All,XGBoost,155184.52525252523,594.9579467773438
All,XGBoost,157814.57575757575,594.9579467773438
All,XGBoost,160444.62626262626,596.0431518554688
All,XGBoost,163074.67676767675,595.6979370117188
All,XGBoost,165704.72727272726,597.951416015625
All,XGBoost,168334.77777777778,597.8765869140625
All,XGBoost,170964.82828282827,597.1785278320312
All,XGBoost,173594.87878787878,597.1785278320312
All,XGBoost,176224.92929292927,597.204833984375
All,XGBoost,178854.9797979798,597.1902465820312
All,XGBoost,181485.0303030303,598.09423828125
All,XGBoost,184115.0808080808,595.928955078125
All,XGBoost,186745.1313131313,596.186767578125
All,XGBoost,189375.1818181818,626.3888549804688
All,XGBoost,192005.2323232323,635.4491577148438
All,XGBoost,194635.28282828283,628.5358276367188
All,XGBoost,197265.3333333333,637.0642700195312
All,XGBoost,199895.38383838383,637.0642700195312
All,XGBoost,202525.43434343432,636.7778930664062
All,XGBoost,205155.48484848483,646.990234375
All,XGBoost,207785.53535353535,640.7586059570312
All,XGBoost,210415.58585858584,639.8065795898438
All,XGBoost,213045.63636363635,648.3533935546875
All,XGBoost,215675.68686868684,653.9935302734375
All,XGBoost,218305.73737373736,656.3065795898438
All,XGBoost,220935.78787878787,665.2548828125
All,XGBoost,223565.83838383836,666.4385986328125
All,XGBoost,226195.88888888888,666.6746215820312
All,XGBoost,228825.9393939394,656.328857421875
All,XGBoost,231455.98989898988,656.2360229492188
All,XGBoost,234086.0404040404,654.52197265625
All,XGBoost,236716.09090909088,657.6657104492188
All,XGBoost,239346.1414141414,657.7991943359375
All,XGBoost,241976.19191919192,655.9590454101562
All,XGBoost,244606.2424242424,675.2839965820312
All,XGBoost,247236.29292929292,666.2053833007812
All,XGBoost,249866.3434343434,687.9764404296875
All,XGBoost,252496.39393939392,679.7702026367188
All,XGBoost,255126.44444444444,679.2443237304688
All,XGBoost,257756.49494949493,645.0017700195312
All,XGBoost,260386.54545454544,646.1956176757812
All,XGBoost,263016.5959595959,644.6145629882812
All,XGBoost,265646.64646464644,644.6145629882812
All,XGBoost,268276.69696969696,654.4747924804688
All,XGBoost,270906.7474747475,654.4747924804688
All,XGBoost,273536.79797979794,654.4747924804688
