Dataset,Model,15 Intersection density,Predicted Value
Afternoons,XGBoost,0.0007013979182990909,1425.61962890625
Afternoons,XGBoost,0.0007137493972947565,1425.61962890625
Afternoons,XGBoost,0.0007261008762904222,1425.61962890625
Afternoons,XGBoost,0.0007384523552860879,1425.61962890625
Afternoons,XGBoost,0.0007508038342817535,1425.61962890625
Afternoons,XGBoost,0.0007631553132774192,1425.61962890625
Afternoons,XGBoost,0.0007755067922730848,1425.61962890625
Afternoons,XGBoost,0.0007878582712687505,1425.61962890625
Afternoons,XGBoost,0.0008002097502644162,1425.985107421875
Afternoons,XGBoost,0.0008125612292600818,1425.985107421875
Afternoons,XGBoost,0.0008249127082557475,1425.985107421875
Afternoons,XGBoost,0.000837264187251413,1305.893798828125
Afternoons,XGBoost,0.0008496156662470787,1183.142578125
Afternoons,XGBoost,0.0008619671452427444,1183.142578125
Afternoons,XGBoost,0.0008743186242384101,1183.142578125
Afternoons,XGBoost,0.0008866701032340758,1183.142578125
Afternoons,XGBoost,0.0008990215822297415,1183.142578125
Afternoons,XGBoost,0.0009113730612254071,1183.142578125
Afternoons,XGBoost,0.0009237245402210727,1183.142578125
Afternoons,XGBoost,0.0009360760192167383,1183.142578125
Afternoons,XGBoost,0.000948427498212404,1183.142578125
Afternoons,XGBoost,0.0009607789772080697,1183.142578125
Afternoons,XGBoost,0.0009731304562037354,1183.142578125
Afternoons,XGBoost,0.000985481935199401,1183.3223876953125
Afternoons,XGBoost,0.0009978334141950668,1183.3223876953125
Afternoons,XGBoost,0.0010101848931907322,1183.3223876953125
Afternoons,XGBoost,0.001022536372186398,1183.3223876953125
Afternoons,XGBoost,0.0010348878511820636,1183.3223876953125
Afternoons,XGBoost,0.0010472393301777293,1183.3223876953125
Afternoons,XGBoost,0.001059590809173395,1183.3223876953125
Afternoons,XGBoost,0.0010719422881690607,1183.3223876953125
Afternoons,XGBoost,0.0010842937671647263,1183.3223876953125
Afternoons,XGBoost,0.0010966452461603918,1183.4542236328125
Afternoons,XGBoost,0.0011089967251560577,1175.051025390625
Afternoons,XGBoost,0.0011213482041517232,1175.051025390625
Afternoons,XGBoost,0.0011336996831473889,1175.051025390625
Afternoons,XGBoost,0.0011460511621430546,1175.051025390625
Afternoons,XGBoost,0.0011584026411387202,1174.7578125
Afternoons,XGBoost,0.001170754120134386,1174.7578125
Afternoons,XGBoost,0.0011831055991300514,1175.342041015625
Afternoons,XGBoost,0.0011954570781257173,1160.4688720703125
Afternoons,XGBoost,0.0012078085571213828,1160.4688720703125
Afternoons,XGBoost,0.0012201600361170485,1160.9149169921875
Afternoons,XGBoost,0.0012325115151127141,1160.9149169921875
Afternoons,XGBoost,0.0012448629941083798,1160.9798583984375
Afternoons,XGBoost,0.0012572144731040455,1160.9798583984375
Afternoons,XGBoost,0.001269565952099711,1160.9798583984375
Afternoons,XGBoost,0.0012819174310953769,1160.9798583984375
Afternoons,XGBoost,0.0012942689100910424,1160.9798583984375
