Dataset,Model,Visual complexity mean,Predicted Value
Mornings Special,CatBoost,1.6948326756672798,276.07428295695
Mornings Special,CatBoost,1.7007494192301538,276.07428295695
Mornings Special,CatBoost,1.7066661627930275,276.07428295695
Mornings Special,CatBoost,1.7125829063559013,276.07428295695
Mornings Special,CatBoost,1.7184996499187752,276.07428295695
Mornings Special,CatBoost,1.724416393481649,276.07428295695
Mornings Special,CatBoost,1.730333137044523,276.07428295695
Mornings Special,CatBoost,1.7362498806073967,276.07428295695
Mornings Special,CatBoost,1.7421666241702705,276.07428295695
Mornings Special,CatBoost,1.7480833677331444,275.9986622182338
Mornings Special,CatBoost,1.7540001112960182,275.9986622182338
Mornings Special,CatBoost,1.7599168548588922,275.9464135743743
Mornings Special,CatBoost,1.765833598421766,275.9464135743743
Mornings Special,CatBoost,1.7717503419846397,275.9464135743743
Mornings Special,CatBoost,1.7776670855475136,275.9464135743743
Mornings Special,CatBoost,1.7835838291103874,275.9464135743743
Mornings Special,CatBoost,1.7895005726732613,275.9112757346543
Mornings Special,CatBoost,1.795417316236135,276.98126500278755
Mornings Special,CatBoost,1.8013340597990088,276.98126500278755
Mornings Special,CatBoost,1.8072508033618828,277.1633692580182
Mornings Special,CatBoost,1.8131675469247566,277.1633692580182
Mornings Special,CatBoost,1.8190842904876305,276.9645644732936
Mornings Special,CatBoost,1.8250010340505043,299.8377812984634
Mornings Special,CatBoost,1.830917777613378,333.8693937350813
Mornings Special,CatBoost,1.836834521176252,333.8693937350813
Mornings Special,CatBoost,1.8427512647391258,333.8693937350813
Mornings Special,CatBoost,1.8486680083019995,336.3402970604466
Mornings Special,CatBoost,1.8545847518648735,338.58708567279143
Mornings Special,CatBoost,1.8605014954277472,338.58708567279143
Mornings Special,CatBoost,1.8664182389906212,339.94051727524874
Mornings Special,CatBoost,1.872334982553495,339.94051727524874
Mornings Special,CatBoost,1.878251726116369,339.94051727524874
Mornings Special,CatBoost,1.8841684696792427,339.94051727524874
Mornings Special,CatBoost,1.8900852132421164,339.94051727524874
Mornings Special,CatBoost,1.8960019568049904,339.94051727524874
Mornings Special,CatBoost,1.9019187003678641,339.9599250447178
Mornings Special,CatBoost,1.907835443930738,339.9599250447178
Mornings Special,CatBoost,1.9137521874936119,339.83639754793217
Mornings Special,CatBoost,1.9196689310564856,339.23874730690886
Mornings Special,CatBoost,1.9255856746193596,339.23874730690886
Mornings Special,CatBoost,1.9315024181822333,339.23874730690886
Mornings Special,CatBoost,1.9374191617451073,335.4791976789803
