Dataset,Model,Road view mean,Predicted Value
Mornings,CatBoost,0.15343097643097647,681.3091843234772
Mornings,CatBoost,0.1577676767676768,681.3409644477726
Mornings,CatBoost,0.16210437710437714,680.6860444170487
Mornings,CatBoost,0.16644107744107747,680.7009860197322
Mornings,CatBoost,0.1707777777777778,680.7633600074212
Mornings,CatBoost,0.17511447811447814,680.7750341100312
Mornings,CatBoost,0.17945117845117847,681.3790172439408
Mornings,CatBoost,0.1837878787878788,676.8339079993272
Mornings,CatBoost,0.18812457912457917,681.1041727890995
Mornings,CatBoost,0.1924612794612795,686.3738641662109
Mornings,CatBoost,0.19679797979797983,686.3738641662109
Mornings,CatBoost,0.20113468013468017,686.3738641662109
Mornings,CatBoost,0.2054713804713805,688.4128919278816
Mornings,CatBoost,0.20980808080808083,688.4128919278816
Mornings,CatBoost,0.21414478114478117,688.4111852361373
Mornings,CatBoost,0.21848148148148153,688.4111852361373
Mornings,CatBoost,0.22281818181818186,688.4111852361373
Mornings,CatBoost,0.2271548821548822,688.4111852361373
Mornings,CatBoost,0.23149158249158253,688.4111852361373
Mornings,CatBoost,0.23582828282828286,688.3464642170674
Mornings,CatBoost,0.2401649831649832,687.697057775579
Mornings,CatBoost,0.24450168350168353,687.5153368365986
Mornings,CatBoost,0.24883838383838386,687.5153368365986
Mornings,CatBoost,0.25317508417508416,687.5153368365986
Mornings,CatBoost,0.2575117845117846,687.5153368365986
Mornings,CatBoost,0.2618484848484849,687.5153368365986
Mornings,CatBoost,0.2661851851851852,687.5153368365986
Mornings,CatBoost,0.27052188552188555,687.5153368365986
Mornings,CatBoost,0.2748585858585859,687.5153368365986
Mornings,CatBoost,0.2791952861952862,687.5153368365986
Mornings,CatBoost,0.2835319865319865,687.5153368365986
Mornings,CatBoost,0.28786868686868694,687.5153368365986
Mornings,CatBoost,0.29220538720538725,687.5153368365986
Mornings,CatBoost,0.29654208754208755,687.5153368365986
Mornings,CatBoost,0.30087878787878786,687.5153368365986
Mornings,CatBoost,0.3052154882154883,687.5153368365986
Mornings,CatBoost,0.3095521885521886,676.2337083947496
Mornings,CatBoost,0.3138888888888889,676.2337083947496
Mornings,CatBoost,0.3182255892255893,676.2337083947496
Mornings,CatBoost,0.3225622895622896,676.2337083947496
Mornings,CatBoost,0.3268989898989899,676.2337083947496
Mornings,CatBoost,0.3312356902356902,676.2337083947496
Mornings,CatBoost,0.33557239057239063,676.2337083947496
Mornings,CatBoost,0.33990909090909094,676.2337083947496
Mornings,CatBoost,0.34424579124579124,676.2337083947496
Mornings,CatBoost,0.34858249158249166,676.2337083947496
Mornings,CatBoost,0.35291919191919197,676.2337083947496
Mornings,CatBoost,0.35725589225589227,676.2337083947496
Mornings,CatBoost,0.3615925925925926,676.2337083947496
Mornings,CatBoost,0.365929292929293,676.2337083947496
Mornings,CatBoost,0.3702659932659933,676.2337083947496
Mornings,CatBoost,0.3746026936026936,676.2337083947496
Mornings,CatBoost,0.378939393939394,676.2337083947496
Mornings,CatBoost,0.3832760942760943,676.2337083947496
Mornings,CatBoost,0.38761279461279463,676.2337083947496
Mornings,CatBoost,0.39194949494949494,676.2337083947496
Mornings,CatBoost,0.39628619528619535,676.2337083947496
Mornings,CatBoost,0.40062289562289566,676.2337083947496
Mornings,CatBoost,0.40495959595959596,676.2337083947496
Mornings,CatBoost,0.4092962962962964,676.2337083947496
Mornings,CatBoost,0.4136329966329967,676.2337083947496
Mornings,CatBoost,0.417969696969697,676.2337083947496
Mornings,CatBoost,0.4223063973063973,676.2337083947496
Mornings,CatBoost,0.4266430976430977,676.2337083947496
Mornings,CatBoost,0.430979797979798,676.2337083947496
Mornings,CatBoost,0.4353164983164983,676.2337083947496
Mornings,CatBoost,0.43965319865319863,676.2337083947496
Mornings,CatBoost,0.44398989898989905,676.2337083947496
Mornings,CatBoost,0.44832659932659935,676.2337083947496
Mornings,CatBoost,0.45266329966329966,676.2337083947496
Mornings,CatBoost,0.457,676.2337083947496
Evenings,CatBoost,0.0276666666666667,498.1128099220149
Evenings,CatBoost,0.032003367003367034,498.1128099220149
Evenings,CatBoost,0.036340067340067374,498.1128099220149
Evenings,CatBoost,0.040676767676767714,498.1128099220149
Evenings,CatBoost,0.04501346801346805,498.1128099220149
Evenings,CatBoost,0.04935016835016838,498.1128099220149
Evenings,CatBoost,0.05368686868686872,496.94860764817315
Evenings,CatBoost,0.05802356902356906,496.94860764817315
Evenings,CatBoost,0.062360269360269394,496.94860764817315
Evenings,CatBoost,0.06669696969696973,496.94860764817315
Evenings,CatBoost,0.07103367003367006,496.94860764817315
Evenings,CatBoost,0.07537037037037041,496.94860764817315
Evenings,CatBoost,0.07970707070707074,496.94860764817315
Evenings,CatBoost,0.08404377104377107,495.3948654518815
Evenings,CatBoost,0.08838047138047142,495.3948654518815
Evenings,CatBoost,0.09271717171717175,492.56960474870993
Evenings,CatBoost,0.09705387205387209,492.56960474870993
Evenings,CatBoost,0.10139057239057242,487.60632237871755
Evenings,CatBoost,0.10572727272727275,487.60632237871755
Evenings,CatBoost,0.1100639730639731,487.60632237871755
Evenings,CatBoost,0.11440067340067343,487.60632237871755
Evenings,CatBoost,0.11873737373737377,482.6255630750642
Evenings,CatBoost,0.12307407407407411,482.6255630750642
Evenings,CatBoost,0.12741077441077445,482.6255630750642
Evenings,CatBoost,0.13174747474747478,482.6255630750642
Evenings,CatBoost,0.1360841750841751,482.6255630750642
Evenings,CatBoost,0.14042087542087545,482.6255630750642
