Dataset,Model,Closeness centrality,Predicted Value
Afternoons,XGBoost,0.012393939393939395,1198.431884765625
Afternoons,XGBoost,0.012515151515151514,1198.431884765625
Afternoons,XGBoost,0.012636363636363637,1198.431884765625
Afternoons,XGBoost,0.012757575757575757,1198.431884765625
Afternoons,XGBoost,0.012878787878787878,1198.431884765625
Afternoons,XGBoost,0.013000000000000001,1198.431884765625
Afternoons,XGBoost,0.01312121212121212,1198.431884765625
Afternoons,XGBoost,0.013242424242424243,1198.431884765625
Afternoons,XGBoost,0.013363636363636362,1198.431884765625
Afternoons,XGBoost,0.013484848484848485,1198.431884765625
Afternoons,XGBoost,0.013606060606060608,1198.431884765625
Afternoons,XGBoost,0.013727272727272727,1198.431884765625
Afternoons,XGBoost,0.01384848484848485,1198.431884765625
Afternoons,XGBoost,0.013969696969696969,1198.431884765625
Afternoons,XGBoost,0.014090909090909091,1198.431884765625
Afternoons,XGBoost,0.01421212121212121,1198.431884765625
Afternoons,XGBoost,0.014333333333333333,1198.431884765625
Afternoons,XGBoost,0.014454545454545456,1198.431884765625
Afternoons,XGBoost,0.014575757575757575,1198.431884765625
Afternoons,XGBoost,0.014696969696969698,1198.431884765625
Afternoons,XGBoost,0.014818181818181817,1198.431884765625
Afternoons,XGBoost,0.01493939393939394,1198.431884765625
Afternoons,XGBoost,0.015060606060606059,1202.2127685546875
Afternoons,XGBoost,0.015181818181818182,1202.2127685546875
Afternoons,XGBoost,0.015303030303030304,1202.2127685546875
Afternoons,XGBoost,0.015424242424242424,1202.2127685546875
Afternoons,XGBoost,0.015545454545454546,1202.2127685546875
Afternoons,XGBoost,0.015666666666666666,1202.2127685546875
Afternoons,XGBoost,0.015787878787878788,1202.2127685546875
Afternoons,XGBoost,0.015909090909090907,1202.2127685546875
Afternoons,XGBoost,0.01603030303030303,1202.2127685546875
Afternoons,XGBoost,0.016151515151515153,1202.2127685546875
Afternoons,XGBoost,0.016272727272727272,1202.2127685546875
Afternoons,XGBoost,0.016393939393939395,1202.2127685546875
Afternoons,XGBoost,0.016515151515151514,1202.2127685546875
Afternoons,XGBoost,0.016636363636363637,1202.2127685546875
Afternoons,XGBoost,0.016757575757575756,1202.2127685546875
Afternoons,XGBoost,0.01687878787878788,1202.2127685546875
Afternoons,XGBoost,0.017,1228.239013671875
Afternoons Special,LightGBM,0.005,1066.8141338997336
Afternoons Special,LightGBM,0.005121212121212121,1066.8141338997336
Afternoons Special,LightGBM,0.005242424242424243,1066.8141338997336
Afternoons Special,LightGBM,0.005363636363636364,1066.8141338997336
Afternoons Special,LightGBM,0.005484848484848485,1066.8141338997336
Afternoons Special,LightGBM,0.005606060606060606,1066.8141338997336
Afternoons Special,LightGBM,0.0057272727272727275,1066.8141338997336
Afternoons Special,LightGBM,0.0058484848484848485,1066.8141338997336
Afternoons Special,LightGBM,0.0059696969696969695,1066.8141338997336
Afternoons Special,LightGBM,0.006090909090909091,1064.8742786753212
Afternoons Special,LightGBM,0.006212121212121212,1064.8742786753212
Afternoons Special,LightGBM,0.006333333333333333,1064.8742786753212
Afternoons Special,LightGBM,0.006454545454545454,1064.8742786753212
Afternoons Special,LightGBM,0.006575757575757576,1064.8742786753212
Afternoons Special,LightGBM,0.006696969696969697,1064.8742786753212
Afternoons Special,LightGBM,0.006818181818181819,1064.8742786753212
Afternoons Special,LightGBM,0.00693939393939394,1064.8742786753212
Afternoons Special,LightGBM,0.007060606060606061,1064.8742786753212
Afternoons Special,LightGBM,0.007181818181818182,1064.8742786753212
Afternoons Special,LightGBM,0.0073030303030303025,1064.8742786753212
Afternoons Special,LightGBM,0.007424242424242424,1064.8742786753212
Afternoons Special,LightGBM,0.007545454545454545,1067.5253305617002
Afternoons Special,LightGBM,0.007666666666666667,1067.5253305617002
Afternoons Special,LightGBM,0.007787878787878788,1067.5253305617002
Afternoons Special,LightGBM,0.007909090909090909,1067.5253305617002
Afternoons Special,LightGBM,0.00803030303030303,1067.5253305617002
Afternoons Special,LightGBM,0.008151515151515151,1067.5253305617002
Afternoons Special,LightGBM,0.008272727272727272,1067.5253305617002
Afternoons Special,LightGBM,0.008393939393939395,1067.5253305617002
Afternoons Special,LightGBM,0.008515151515151516,876.911082968494
Afternoons Special,LightGBM,0.008636363636363636,876.911082968494
Afternoons Special,LightGBM,0.008757575757575757,876.911082968494
Afternoons Special,LightGBM,0.008878787878787878,876.911082968494
Afternoons Special,LightGBM,0.009000000000000001,876.911082968494
Afternoons Special,LightGBM,0.00912121212121212,876.911082968494
Afternoons Special,LightGBM,0.009242424242424243,876.911082968494
Afternoons Special,LightGBM,0.009363636363636364,876.911082968494
Afternoons Special,LightGBM,0.009484848484848485,876.911082968494
Afternoons Special,LightGBM,0.009606060606060606,891.9403741428758
Afternoons Special,LightGBM,0.009727272727272727,891.9403741428758
Afternoons Special,LightGBM,0.00984848484848485,891.9403741428758
Afternoons Special,LightGBM,0.009969696969696969,891.9403741428758
Afternoons Special,LightGBM,0.010090909090909091,891.9403741428758
Afternoons Special,LightGBM,0.010212121212121212,891.9403741428758
Afternoons Special,LightGBM,0.010333333333333333,891.9403741428758
Afternoons Special,LightGBM,0.010454545454545454,891.9403741428758
Afternoons Special,LightGBM,0.010575757575757575,894.8587893303214
